宝盛北里三居室，高楼层，电梯直达，满五年唯一,宝盛北里,清河,3室1厅 ,140.25, 南 北 , 精装 ,9, 2004年 , 板楼,89, 3个月以前发布,9600000.0,"68,450元/平",VR房源 房本满五年 
小营东路7号院 正规三居室 满五年一手业主  看房随时,小营东路7号院,清河,3室1厅 ,103.38, 东 南 北 , 简装 ,6, 1999年 , 板楼,57, 5个月以前发布,8230000.0,"79,610元/平",VR看装修 房本满五年 随时看房 
橡树湾四期，全明格局，精装三居，给换房周期,橡树湾四期,清河,3室2厅 ,149.69, 南 北 , 精装 ,25, 2014年 , 板塔结合,91, 11个月以前发布,19000000.0,"126,929元/平",VR房源 房本满五年 随时看房 
橡树湾四期 南北通透 不临街 精装修 诚意售,橡树湾四期,清河,3室2厅 ,162.56, 南 北 , 精装 ,25, 2014年 , 板塔结合,19, 5个月以前发布,20100000.0,"123,647元/平",VR房源 房本满五年 随时看房 
新上永泰园东南向三室两卫观景房，靠谱靠谱靠谱,永泰园新地标,清河,3室2厅 ,135.59, 东南 , 简装 ,31, 2002年 , 塔楼,133, 7个月以前发布,7600000.0,"56,052元/平",VR房源 房本满两年 随时看房 
精装修，艺术气息的设计，一梯一户的入户,世华龙樾二期,清河,4室1厅 ,107.7, 南 北 , 其他 ,9, 2015年 , 板楼,35, 8个月以前发布,16500000.0,"153,204元/平",近地铁 VR房源 房本满五年 随时看房 
力度家园方正一室一厅不临街无遮挡,力度家园,清河,1室1厅 ,59.98, 北 , 精装 ,21, 2004年 , 板塔结合,2, 4个月以前发布,4990000.0,"83,195元/平",近地铁 VR看装修 房本满两年 随时看房 
萬橡府南北精装三居诚意出售，看房方便,橡树湾五期,清河,3室2厅 ,146.61, 北 南 , 精装 ,12, 2018年 , 板楼,10, 3个月以前发布,22000000.0,"150,058元/平",近地铁 VR房源 
海清园正规一居室 近地铁 户型方正 诚意出售 价格可谈,海清园,清河,1室1厅 ,58.4, 东北 , 简装 ,18, 2001年 , 塔楼,9, 3个月以前发布,4000000.0,"68,494元/平",近地铁 VR看装修 房本满两年 
清河新城府学上院  满五唯一 中间位置,强佑清河新城府学上院,清河,2室1厅 ,62.79, 北 , 精装 ,22, 2009年 , 板塔结合,31, 3个月以前发布,4660000.0,"74,216元/平",近地铁 VR看装修 房本满五年 随时看房 
加气厂宿舍 满五唯一 南北通透 诚意出售,加气混凝土厂宿舍,清河,2室1厅 ,51.6, 南 北 , 简装 ,5, 1984年 , 板楼,3, 3个月以前发布,4390000.0,"85,078元/平",近地铁 VR看装修 房本满五年 随时看房 
满五唯一 楼层好 精装修 南侧无遮挡 随时签约,观景园,清河,2室1厅 ,91.44, 南 北 , 精装 ,6, 2011年 , 板楼,5, 3个月以前发布,7680000.0,"83,990元/平",VR看装修 房本满五年 
北京机械学院家属楼南北向正规两居室,北京机械学院家属楼,清河,2室1厅 ,60.3, 南 北 , 简装 ,4, 1981年 , 板楼,68, 一年前发布,4250000.0,"70,481元/平",近地铁 VR看装修 房本满两年 随时看房 
永泰园小区，此房满五唯一，户型方正；,永泰园新地标,清河,2室2厅 ,110.02, 西 , 精装 ,31, 2002年 , 塔楼,22, 10个月以前发布,6850000.0,"62,262元/平",近地铁 VR看装修 房本满五年 随时看房 
毛纺厂南小区 2室1厅 西南,毛纺厂南小区,清河,2室1厅 ,67.1, 西南 , 精装 ,6, 1997年 , 板楼,9, 3个月以前发布,4800000.0,"71,536元/平",VR看装修 房本满五年 
海清园 2室1厅 西南,海清园,清河,2室1厅 ,88.29, 西南 , 简装 ,18, 2001年 , 塔楼,38, 3个月以前发布,5600000.0,"63,428元/平",近地铁 VR看装修 房本满五年 随时看房 
砂轮厂宿舍，精装复式两居，双卫，南北通透,砂轮厂宿舍,清河,3室2厅 ,96.62, 南 北 , 精装 ,7, 1998年 , 板楼,5, 3个月以前发布,6290000.0,"65,101元/平",VR房源 房本满五年 
621小区 满五唯一  正规两居室 全南向采光充足,621小区,清河,2室1厅 ,53.6, 南 , 简装 ,5, 1984年 , 板楼,6, 4个月以前发布,5070000.0,"94,590元/平",近地铁 VR房源 房本满五年 
强佑清河新城府学上院 2021年房龄 临河观景 视野开阔,强佑清河新城府学上院,清河,2室1厅 ,87.67, 西南 , 精装 ,29, 2021年 , 板塔结合,30, 一年前发布,8850000.0,"100,947元/平",VR看装修 
清缘里中区，正规两居室，看房方便，业主诚心出售。,清缘里中区,清河,2室1厅 ,66.6, 南 北 , 简装 ,10, 1998年 , 板楼,125, 10个月以前发布,4980000.0,"74,775元/平",VR看装修 
强佑清河新城府学上院 2018年次新房 品质小区 格局好,强佑清河新城府学上院,清河,1室1厅 ,38.01, 西北 , 精装 ,18, 2020年 , 板塔结合,14, 5个月以前发布,3800000.0,"99,974元/平",近地铁 VR看装修 随时看房 
永泰园南北通透三居室 双卧朝南 采光好 配套齐全,永泰园,清河,3室1厅 ,69.3, 南 北 , 简装 ,5, 1993年 , 板楼,92, 5个月以前发布,5150000.0,"74,315元/平",近地铁 VR看装修 房本满五年 随时看房 
清河新城府学上院 满五唯一 楼层适中,强佑清河新城府学上院,清河,1室1厅 ,65.1, 西南 , 精装 ,27, 2009年 , 板塔结合,6, 2个月以前发布,4990000.0,"76,652元/平",VR看装修 
观澳园，全南向带电梯，中高层，满五唯一，看房方便,观澳园,清河,2室1厅 ,66.87, 南 , 其他 ,9, 2006年 , 板楼,32, 1个月以前发布,5390000.0,"80,605元/平",VR看装修 房本满五年 
橡树湾三期 正规南北通透三居室 满五年唯一 精装修,橡树湾三期,清河,3室2厅 ,160.35, 南 北 , 精装 ,20, 2011年 , 板塔结合,12, 1个月以前发布,19390000.0,"120,923元/平",近地铁 VR房源 房本满五年 
清缘里中区经典两居室，欢迎来访,清缘里中区,清河,2室1厅 ,82.6, 东南 , 精装 ,13, 2003年 , 板楼,21,11,4930000.0,"59,686元/平",近地铁 VR房源 房本满两年 随时看房 
橡树湾一期 优质正规两居室 不临街 小区中间位置 诚售,橡树湾一期,清河,2室1厅 ,71.19, 西 , 精装 ,11, 2007年 , 板塔结合,15, 1个月以前发布,8500000.0,"119,399元/平",近地铁 VR房源 房本满两年 
621小区 2室1厅 南 北,621小区,清河,2室1厅 ,56.9, 南 北 , 简装 ,6, 1980年 , 板楼,6, 1个月以前发布,4390000.0,"77,153元/平",VR看装修 房本满五年 
莱圳家园 带阳台南向两居室 满五唯一,莱圳家园,清河,2室1厅 ,77.88, 南 , 简装 ,18, 2009年 , 板楼,19, 一年前发布,7450000.0,"95,660元/平",VR看装修 房本满五年 
商品的社区，2022年精装修的三居室，,永泰园新地标,清河,3室2厅 ,141.38, 东南 , 精装 ,31, 2002年 , 塔楼,27,19,9280000.0,"65,639元/平",VR看装修 房本满两年 随时看房 
莱圳家园对花园高层一居室 房子很优质业主诚售能谈,莱圳家园,清河,1室1厅 ,68.71, 东 , 精装 ,13, 2006年 , 板楼,22, 6个月以前发布,6500000.0,"94,601元/平",近地铁 VR看装修 房本满两年 随时看房 
永泰东里，精装南向一居室，中间层，看房有钥匙,永泰东里,清河,1室1厅 ,47.15, 南 , 其他 ,6, 1999年 , 板楼,19, 10个月以前发布,4600000.0,"97,561元/平",近地铁 VR看装修 房本满五年 
小营东路7号院 南北通透三居 双卧朝南采光,小营东路7号院,清河,3室1厅 ,103.38, 东 南 北 , 简装 ,6, 1999年 , 板楼,636, 一年前发布,7950000.0,"76,901元/平",VR看装修 房本满五年 
橡树湾二期 不临街 主力两居户型 精装诚意 出售,橡树湾二期,清河,2室1厅 ,94.48, 东南 , 精装 ,9, 2008年 , 板塔结合,56, 一年前发布,13500000.0,"142,888元/平",近地铁 VR看装修 房本满两年 
总监力推  南北通透两居室，靠谱出售,观景园,清河,2室1厅 ,90.49, 南 北 , 简装 ,6, 2008年 , 板楼,29, 一年前发布,7200000.0,"79,567元/平",VR房源 房本满五年 
毛纺厂南小区 低楼层两居室 满五唯一 业主诚意出售,毛纺厂南小区,清河,2室1厅 ,56.3, 南 北 , 精装 ,5, 1979年 , 板楼,11, 9个月以前发布,4100000.0,"72,825元/平",近地铁 VR房源 房本满五年 
观林园 三居室 带电梯 低密度 有公园,观林园,清河,3室2厅 ,162.42, 南 北 , 精装 ,6, 2011年 , 板楼,41, 一年前发布,13700000.0,"84,350元/平",VR房源 房本满五年 
永泰东里 南北通透 三居室 满五唯一 诚心出售,永泰东里,清河,3室1厅 ,95.93, 南 北 , 精装 ,6, 1996年 , 板楼,41, 一年前发布,7550000.0,"78,704元/平",近地铁 VR看装修 房本满两年 
世华龙樾一期东区，南北两居，人车分流，一梯两户,世华龙樾一期东区,清河,2室1厅 ,87.3, 南 北 , 其他 ,11, 2014年 , 板楼,40, 5个月以前发布,11500000.0,"131,730元/平",近地铁 VR房源 房本满五年 
福美苑南北通透二居室 钥匙房 业主随时可以签约,福美苑,清河,2室2厅 ,90.45, 南 北 , 简装 ,16, 2012年 , 板楼,43, 4个月以前发布,5850000.0,"64,677元/平",近地铁 VR看装修 房本满五年 
毛纺厂南小区97年 满五唯一低楼层两居室 诚意出售,毛纺厂南小区,清河,2室1厅 ,70.8, 南 北 , 精装 ,6, 1997年 , 板楼,47, 5个月以前发布,4870000.0,"68,786元/平",VR看装修 房本满五年 
观景园精装两居，视野宽阔，采光充足，配套设施齐全,观景园,清河,2室1厅 ,85.88, 东南 , 精装 ,6, 2008年 , 板楼,78, 6个月以前发布,6190000.0,"72,078元/平",VR看装修 房本满五年 
莱圳家园 三期南北通透两居室 不临街视野好,莱圳家园,清河,2室2厅 ,87.65, 南 北 , 精装 ,13, 2012年 , 板楼,42, 7个月以前发布,8100000.0,"92,414元/平",近地铁 VR看装修 房本满五年 
强佑清河新城府学上院 南向开间 全明格局 次新房,强佑清河新城府学上院,清河,1室0厅 ,42.35, 西南 , 精装 ,18, 2020年 , 板塔结合,34, 3个月以前发布,3650000.0,"86,187元/平",近地铁 VR看装修 
强佑清河新城府学上院 次新房 精装修 南北通透 位置好,强佑清河新城府学上院,清河,3室1厅 ,122.13, 南 北 , 精装 ,24, 2020年 , 板塔结合,33, 4个月以前发布,9800000.0,"80,243元/平",近地铁 VR看装修 
永泰东里，南北通透两居室，业主自住，无抵押,永泰东里,清河,2室1厅 ,60.36, 南 北 , 其他 ,6, 1996年 , 板楼,134, 一年前发布,4650000.0,"77,038元/平",近地铁 VR看装修 房本满两年 
金隅美和园 优质南北向正规一居室,金隅美和园,清河,1室1厅 ,49.85, 南 北 , 精装 ,9, 2008年 , 板楼,39, 一年前发布,4000000.0,"80,241元/平",近地铁 VR看装修 房本满五年 
621小区 满五年 随时可看 可签 两居室,621小区,清河,2室1厅 ,54.1, 南 北 , 精装 ,6, 1993年 , 板楼,7, 4个月以前发布,4200000.0,"77,635元/平",近地铁 VR看装修 房本满五年 
强佑清河新城府学上院 2018年房龄 经典格局 视野开阔,强佑清河新城府学上院,清河,2室1厅 ,93.16, 南 , 精装 ,24, 2020年 , 板塔结合,73, 4个月以前发布,8500000.0,"91,241元/平",近地铁 VR看装修 随时看房 
宝盛里 3室1厅 南 北,宝盛里,清河,3室1厅 ,113.2, 南 北 , 精装 ,5, 2000年 , 板楼,4, 3个月以前发布,7800000.0,"68,905元/平",VR看装修 房本满五年 
美和园南向大一居（拓展两居+书房）实用面积大采光好,金隅美和园,清河,1室1厅 ,62.82, 南 , 简装 ,9, 2008年 , 板楼,18, 3个月以前发布,5350000.0,"85,164元/平",VR房源 房本满五年 随时看房 
清河文苑正规四居室 满五唯一 04年的商品房 视野开阔,清河文苑,清河,4室1厅 ,147.64, 东南 , 简装 ,22, 2004年 , 塔楼,34, 一年前发布,11500000.0,"77,893元/平",近地铁 VR看装修 房本满五年 随时看房 
宝盛里观林园 东西通透 大两居,观林园,清河,2室2厅 ,119.95, 东 西 , 简装 ,6, 2011年 , 板楼,21, 10个月以前发布,9100000.0,"75,865元/平",VR看装修 房本满五年 随时看房 
小营东路7号院首付260万就够，正规3居室，空置有钥匙,小营东路7号院,清河,3室1厅 ,106.19, 南 西 , 简装 ,6, 1999年 , 板楼,23, 10个月以前发布,7480000.0,"70,440元/平",VR看装修 房本满五年 随时看房 
新上主推 观澳园 全明格局 满五年唯一 中间楼层,观澳园,清河,2室1厅 ,103.44, 东 南 北 , 简装 ,7, 2005年 , 板楼,77, 11个月以前发布,8260000.0,"79,854元/平",VR房源 房本满两年 随时看房 
雪梨澳乡E区双拼别墅地上两层毛坯房花园300平,雪梨澳乡E区,清河,3室2厅 ,243.61, 南 北 , 毛坯 ,2, 2007年 , 暂无数据,101, 一年前发布,20000000.0,"82,099元/平",近地铁 VR看装修 房本满五年 随时看房 
信息学院家属楼 明厅 明卫 三居室 一手业主,信息学院家属楼,清河,3室1厅 ,89.0, 南 北 , 简装 ,6, 1986年 , 板楼,15, 4个月以前发布,6600000.0,"74,158元/平",近地铁 VR看装修 房本满五年 随时看房 
清河永泰西里 两层楼单独入户 满五唯一 看房方便,永泰西里,清河,4室2厅 ,103.6, 南 北 西 , 简装 ,7, 1995年 , 板楼,38, 一年前发布,6200000.0,"59,846元/平",近地铁 VR房源 房本满五年 随时看房 
宝盛里观澳园 电梯高层大三居 视野采光佳,观澳园,清河,3室1厅 ,152.07, 南 西 北 , 简装 ,10, 2005年 , 板楼,83, 一年前发布,12500000.0,"82,199元/平",VR看装修 房本满五年 随时看房 
橡树湾一期 南北三居室  彩光好 视野无遮挡 诚意出售,橡树湾一期,清河,3室2厅 ,125.37, 南 北 , 简装 ,18, 2007年 , 板塔结合,37, 9个月以前发布,18100000.0,"144,373元/平",近地铁 VR看装修 房本满五年 随时看房 
主推 观林园两居 南北通透 中间楼层 看房方便,观林园,清河,2室1厅 ,95.92, 南 北 , 精装 ,6, 2008年 , 板楼,22, 5个月以前发布,8080000.0,"84,237元/平",VR看装修 房本满五年 随时看房 
观林园 主推4居 中间楼层3层，诚心出售 满五,观林园,清河,4室1厅 ,141.01, 东 西 北 , 简装 ,6, 2011年 , 板楼,50, 9个月以前发布,9800000.0,"69,499元/平",VR看装修 房本满五年 随时看房 
橡树湾二期花园洋房上跃层结构 小区中间位置空中别墅,橡树湾二期,清河,5室2厅 ,212.0, 南 北 , 精装 ,9, 2008年 , 板楼,19, 一年前发布,34000000.0,"160,378元/平",近地铁 VR房源 房本满五年 随时看房 
橡树湾五期精装修三居室 双卧朝南 南北通透 中间楼层,橡树湾五期,清河,3室2厅 ,146.12, 南 北 , 精装 ,12, 2018年 , 板楼,50, 8个月以前发布,20500000.0,"140,296元/平",近地铁 VR看装修 房本满两年 随时看房 
强佑府学上院 南北通透电梯三居 精致装修,强佑清河新城府学上院,清河,3室1厅 ,139.35, 南 北 , 精装 ,27, 2012年 , 板塔结合,23, 2个月以前发布,10700000.0,"76,786元/平",近地铁 VR房源 房本满两年 
世华龙樾一期西区 南北两居 满五唯一 人车分流电梯房,世华龙樾一期西区,清河,2室1厅 ,75.16, 南 北 , 简装 ,18, 2014年 , 板塔结合,22,17,6650000.0,"88,478元/平",近地铁 VR看装修 房本满五年 
总监力荐，电梯直达，靠谱签约，看房随时,清润家园,清河,2室1厅 ,78.32, 西南 , 简装 ,17, 2010年 , 塔楼,43,17,5850000.0,"74,694元/平",VR看装修 随时看房 
强佑府学上院 精致装修电梯小户型 诚售中,强佑清河新城府学上院,清河,2室1厅 ,62.55, 北 , 精装 ,27, 2009年 , 板塔结合,46, 1个月以前发布,4130000.0,"66,028元/平",VR房源 随时看房 
强佑清河新城府学上院 品质两居 无噪音 满五唯一,强佑清河新城府学上院,清河,2室1厅 ,84.39, 西南 , 简装 ,27, 2012年 , 板塔结合,17,19,6680000.0,"79,157元/平",近地铁 VR看装修 房本满五年 随时看房 
总监推荐房源 满五年唯一 南北通透两居室 中间楼层,永泰东里,清河,2室1厅 ,59.89, 南 北 , 简装 ,6, 1994年 , 板楼,36,17,3980000.0,"66,456元/平",近地铁 VR看装修 房本满五年 
永泰明厅两居，中间层，满5唯一，已收钥匙，随时看房,永泰东里,清河,2室1厅 ,64.76, 南 北 , 简装 ,6, 1997年 , 板楼,24, 2个月以前发布,4600000.0,"71,032元/平",近地铁 VR房源 房本满五年 随时看房 
清缘里中区满五唯一 电梯 双层单独分开入户 临河观景,清缘里中区,清河,4室2厅 ,146.68, 南 北 , 精装 ,10, 1998年 , 板楼,60, 4个月以前发布,7680000.0,"52,359元/平",VR房源 房本满五年 随时看房 
永泰东里 二层，位置好，东西南采光好，有钥匙 方便看,永泰东里,清河,3室1厅 ,69.64, 东 南 西 , 毛坯 ,6, 1996年 , 板楼,80, 一年前发布,4400000.0,"63,183元/平",近地铁 VR看装修 房本满两年 随时看房 
次新房，基本没有住过，精装修，观景房，老客户房源,橡树湾四期,清河,2室2厅 ,100.41, 东南 , 精装 ,20, 2013年 , 板楼,13, 3个月以前发布,14000000.0,"139,429元/平",VR看装修 房本满五年 
四期精装三居，动静分离，干挂石材外立面，南北不临街,橡树湾四期,清河,3室2厅 ,178.05, 南 北 , 精装 ,25, 2014年 , 板塔结合,33, 10个月以前发布,23500000.0,"131,986元/平",VR房源 房本满五年 
