麓景嘉园北里 2室1厅 东 西,麓景嘉园北里,海淀其它,2室1厅 ,84.71, 东 西 , 精装 ,6, 2015年 , 板楼,32, 4个月以前发布,3000000.0,"35,415元/平",VR看装修 房本满五年 随时看房 
乐府江南 小区南北通透两居室 看房方便,乐府江南,田村,2室1厅 ,105.8, 南 北 , 精装 ,9, 2005年 , 板塔结合,58, 3个月以前发布,10600000.0,"100,190元/平",VR房源 房本满五年 
【总监推荐】双榆树大泥湾 中间层南北通透 精装修,大泥湾,中关村,2室1厅 ,54.92, 南 北 , 精装 ,6, 1980年 , 板楼,41, 3个月以前发布,6190000.0,"112,710元/平",近地铁 VR房源 房本满两年 随时看房 
芙蓉里有电梯视野好看房随时诚意出售,芙蓉里,圆明园,1室1厅 ,43.6, 西 , 精装 ,15, 1986年 , 板塔结合,24, 3个月以前发布,3800000.0,"87,156元/平",近地铁 VR看装修 房本满五年 随时看房 
工商大学东校区优质二居，视野采光充足，配套齐全,工商大学东校区,甘家口,2室1厅 ,62.1, 南 北 , 简装 ,6, 1980年 , 板楼,14, 3个月以前发布,6600000.0,"106,281元/平",近地铁 VR看装修 房本满五年 随时看房 
宝盛北里三居室，高楼层，电梯直达，满五年唯一,宝盛北里,清河,3室1厅 ,140.25, 南 北 , 精装 ,9, 2004年 , 板楼,89, 3个月以前发布,9600000.0,"68,450元/平",VR房源 房本满五年 
汤泉逸墅 南北朝向 精装修 3居室 次顶层 采光好,汤泉逸墅,四季青,3室1厅 ,141.78, 南 北 , 精装 ,11, 2006年 , 板楼,72, 3个月以前发布,15400000.0,"108,619元/平",VR看装修 房本满五年 
同泽园西里 2室1厅 南 北,同泽园西里,海淀其它,2室1厅 ,68.85, 南 北 , 精装 ,6, 2012年 , 板楼,13, 4个月以前发布,2650000.0,"38,490元/平",VR房源 房本满五年 随时看房 
正规一居室，精装修，2010年建成，采光充足，高楼层,信悦华庭,军博,1室1厅 ,63.29, 西 , 精装 ,11, 2009年 , 板楼,38, 4个月以前发布,5990000.0,"94,644元/平",VR房源 房本满五年 随时看房 
永定华庭 满五年 诚意出售 精装修 拎包入住 看房随时,永定华庭,五棵松,2室1厅 ,67.07, 西北 , 精装 ,9, 2012年 , 板塔结合,51, 4个月以前发布,5900000.0,"87,968元/平",VR看装修 房本满五年 随时看房 
五棵松，永金里小区带电梯南北三居,永金里小区,五棵松,3室2厅 ,131.99, 南 北 , 简装 ,12, 1999年 , 板塔结合,222, 4个月以前发布,8480000.0,"64,248元/平",VR看装修 随时看房 
2008年新社区 五道口嘉园  人文素质高,五道口嘉园,五道口,3室1厅 ,133.34, 东 南 , 简装 ,28, 2012年 , 塔楼,28, 5个月以前发布,14600000.0,"109,495元/平",近地铁 VR房源 房本满五年 随时看房 
地铁口 近金融街，欧式高档小区，观河，昆玉河畔,西钓鱼台嘉园,定慧寺,3室2厅 ,150.26, 南 北 , 简装 ,26, 2006年 , 板塔结合,115, 6个月以前发布,17850000.0,"118,795元/平",VR房源 房本满五年 随时看房 
皂君东里农科院楼龄新精装修南向大一居室有小区环境,皂君东里,皂君庙,1室1厅 ,44.1, 南 , 精装 ,6, 1993年 , 板楼,9, 3个月以前发布,4090000.0,"92,744元/平",近地铁 VR看装修 房本满五年 
大慧寺6号院满五年 精装修看房随时,大慧寺6号院,白石桥,2室1厅 ,51.6, 南 , 精装 ,6, 1982年 , 板楼,6, 3个月以前发布,5480000.0,"106,202元/平",VR房源 房本满五年 
马连洼  兰园小区 精装修 两居室,兰园,马连洼,2室1厅 ,73.23, 东 西 , 精装 ,6, 1997年 , 板楼,104, 8个月以前发布,4800000.0,"65,547元/平",近地铁 VR看装修 房本满两年 随时看房 
车道沟10号院 原为中国兵器家属院,车道沟10号院,紫竹桥,3室1厅 ,77.6, 南 北 , 简装 ,6, 1985年 , 板楼,47, 1个月以前发布,8180000.0,"105,413元/平",近地铁 VR看装修 房本满五年 随时看房 
二里庄北里南北通透两居室，中间楼层,二里庄北里,二里庄,2室1厅 ,57.8, 南 北 , 精装 ,6, 1992年 , 板楼,40, 6个月以前发布,4900000.0,"84,776元/平",近地铁 VR看装修 房本满五年 
西二旗铭科苑 大一居 可以两居 看房方便,铭科苑,西二旗,2室1厅 ,72.0, 西 , 精装 ,18, 2002年 , 塔楼,100, 4个月以前发布,3790000.0,"52,639元/平",近地铁 VR看装修 房本满五年 随时看房 
玉海园优质两居室，方正无浪费，急售,玉海园一里,玉泉路,2室1厅 ,73.5, 东 南 , 简装 ,5, 1997年 , 板楼,51, 3个月以前发布,5350000.0,"72,790元/平",近地铁 VR房源 房本满两年 随时看房 
甘家口 工行家属楼 电梯直达全南两居室 采光无遮挡,甘家口小区,甘家口,2室1厅 ,62.0, 南 , 精装 ,16, 1996年 , 塔楼,40, 4个月以前发布,6500000.0,"104,839元/平",近地铁 VR看装修 房本满五年 
海淀清河电信宿舍 南北通透精装2层两居室 满五年唯一,清河电信宿舍,清河,2室1厅 ,53.99, 南 北 , 精装 ,6, 1986年 , 板楼,167, 4个月以前发布,3500000.0,"64,827元/平",近地铁 VR看装修 房本满五年 
翠微北里板楼 南北通透2居室 满五唯一商品房 看房方便,翠微北里,公主坟,2室1厅 ,58.2, 南 北 , 简装 ,6, 1985年 , 板楼,45, 3个月以前发布,5090000.0,"87,458元/平",VR看装修 房本满五年 随时看房 
五机床厂宿舍 2室1厅 东 南 西 北,五机床厂宿舍,西三旗,2室1厅 ,58.6, 东 南 西 北 , 精装 ,6, 1995年 , 板楼,32, 3个月以前发布,3050000.0,"52,048元/平",VR房源 房本满五年 
静淑苑通透大两居，三面采光，老业主换房诚意出售,静淑苑,学院路,2室1厅 ,67.4, 东 南 西 , 精装 ,7, 1996年 , 板楼,17, 3个月以前发布,6600000.0,"97,923元/平",近地铁 VR看装修 房本满五年 
西直门交大东路48号院，双南2居明厨明卫，满五唯一,交大东路48号院,西直门,2室1厅 ,57.2, 南 , 精装 ,6, 1982年 , 板楼,16, 4个月以前发布,4750000.0,"83,042元/平",VR看装修 房本满五年 随时看房 
双秀公园 新外大街5号两居带客厅采光好随时看房,新外大街5号,小西天,2室1厅 ,55.42, 东 西 , 简装 ,6, 1984年 , 板楼,8, 3个月以前发布,4990000.0,"90,040元/平",近地铁 VR看装修 房本满两年 
电梯房，一居室，中楼层，独院管理，配套齐全,八宝庄,定慧寺,1室1厅 ,45.2, 西 , 精装 ,16, 1988年 , 塔楼,36, 3个月以前发布,3720000.0,"82,301元/平",近地铁 VR看装修 房本满五年 
永金里小区2006年电梯直达两居室，落地窗视野好,永金里小区,五棵松,2室2厅 ,102.88, 东 , 简装 ,11, 2006年 , 板塔结合,35, 4个月以前发布,7580000.0,"73,679元/平",VR房源 房本满五年 
西直门 远洋风景 全明格局 落地飘窗 拎包入住 在院内,远洋风景,小西天,2室1厅 ,67.63, 东 西 , 精装 ,13, 2002年 , 板楼,82, 3个月以前发布,7960000.0,"117,700元/平",VR房源 房本满两年 随时看房 
今日家园正规三居，无遮挡，看房方便，业主诚心出售,今日家园,五棵松,3室1厅 ,109.99, 东南 , 简装 ,24, 1999年 , 塔楼,22, 3个月以前发布,9200000.0,"83,644元/平",VR看装修 房本满两年 
美丽经典园，南北通透，一层带南向大花园,美丽经典园,四季青,2室2厅 ,108.36, 南 北 , 精装 ,6, 2007年 , 板楼,53, 6个月以前发布,14500000.0,"133,814元/平",VR房源 房本满五年 
海淀2005年，景宜里南北2居，电梯房，带固定车位,景宜里,田村,2室1厅 ,97.26, 南 北 , 简装 ,9, 2012年 , 板楼,26, 4个月以前发布,8200000.0,"84,311元/平",近地铁 VR房源 房本满两年 
玉海园三里 南北大两居 户型方正 随时可看,玉海园三里,玉泉路,2室2厅 ,88.5, 南 北 , 简装 ,5, 2001年 , 板楼,26, 5个月以前发布,6660000.0,"75,255元/平",VR房源 房本满五年 
万寿路  万寿园 三居室  满五年唯一 业主诚售,万寿园,万寿路,3室2厅 ,131.6, 西南 北 , 简装 ,18, 1997年 , 塔楼,28, 6个月以前发布,13500000.0,"102,584元/平",近地铁 VR看装修 房本满五年 
海天中心2001年小区中间楼层正规三居室,海天中心,军博,3室2厅 ,142.89, 西南 , 简装 ,21, 2002年 , 塔楼,39, 4个月以前发布,10500000.0,"73,484元/平",VR房源 房本满五年 
博雅西园三居室 东南北三面采光 中间4层 业主诚意出售,博雅西园,马连洼,3室2厅 ,160.51, 南 西 北 , 精装 ,10, 2003年 , 板楼,35, 4个月以前发布,15700000.0,"97,814元/平",VR看装修 房本满五年 
富力桃园 南北电梯复式 品质楼盘 诚心出售,富力桃园A区,西三旗,4室2厅 ,157.72, 南 北 , 精装 ,9, 2008年 , 板楼,47, 7个月以前发布,10650000.0,"67,525元/平",VR房源 房本满五年 
世纪城观山园 南北三居室 客厅双卧南 带保姆间,观山园,世纪城,3室1厅 ,171.45, 南 北 , 精装 ,11, 2004年 , 板楼,37, 5个月以前发布,22800000.0,"132,984元/平",近地铁 VR看装修 房本满五年 随时看房 
万柳阳春光华家园 户型好 朝向好,阳春光华家园,万柳,3室2厅 ,138.95, 南 西 , 精装 ,16, 1999年 , 塔楼,10, 7个月以前发布,18990000.0,"136,668元/平",近地铁 VR看装修 房本满五年 
知春路地铁站两居室两卫单价低价格可谈,汉荣家园,知春路,2室1厅 ,106.47, 东南 , 精装 ,25, 2001年 , 塔楼,22, 4个月以前发布,8250000.0,"77,487元/平",近地铁 VR房源 房本满五年 随时看房 
阜南小区 近西城玉渊潭 环境好 三轨交汇 阜外医院宿舍,阜南小区,甘家口,2室1厅 ,63.22, 南 北 , 简装 ,5, 2000年 , 板楼,21, 4个月以前发布,6250000.0,"98,862元/平",近地铁 VR看装修 房本满五年 随时看房 
万泉河芙蓉里，南北通透两居室，不临街，中间楼层,芙蓉里,圆明园,2室1厅 ,58.0, 南 北 , 精装 ,6, 1985年 , 板楼,49, 一年前发布,5800000.0,"100,000元/平",近地铁 VR看装修 房本满五年 随时看房 
双榆树少有南北朝向正规大客厅大厨卫楼龄新2000年左右,榆苑公寓,双榆树,2室1厅 ,57.7, 南 北 , 简装 ,7, 1999年 , 板楼,62, 6个月以前发布,5380000.0,"93,241元/平",近地铁 VR房源 房本满五年 
房子满五年 南北通透 双卧朝南 客厅落地窗,燕尚园,西二旗,3室1厅 ,98.71, 南 北 , 精装 ,8, 2006年 , 板楼,101, 4个月以前发布,9200000.0,"93,203元/平",近地铁 VR看装修 房本满五年 随时看房 
美和园全阳面两居，已转商，好楼层，有电梯，采光好。,金隅美和园,清河,2室1厅 ,81.98, 南 , 简装 ,9, 2008年 , 板楼,34, 6个月以前发布,6750000.0,"82,338元/平",VR看装修 房本满两年 
万柳 康桥水郡 公园地产 眼镜户型 满五唯一 两居室,康桥水郡,万柳,2室1厅 ,98.77, 东 , 精装 ,15, 2003年 , 板楼,13, 4个月以前发布,14880000.0,"150,654元/平",VR房源 房本满五年 
海清园清河小营桥旁精装修带电梯一居室,海清园,清河,1室1厅 ,58.4, 东 北 , 精装 ,18, 2001年 , 塔楼,10, 4个月以前发布,3830000.0,"65,583元/平",近地铁 VR看装修 房本满五年 
清上园二期南北通透两居室诚意出售看房随时,清上园,安宁庄,2室2厅 ,104.64, 南 北 , 简装 ,11, 2005年 , 板楼,54, 4个月以前发布,7990000.0,"76,358元/平",近地铁 VR房源 房本满五年 
【要看】万寿路太平路今日家园低楼层大三居费用低,今日家园,五棵松,3室1厅 ,128.34, 东南 , 简装 ,18, 2000年 , 塔楼,15, 6个月以前发布,9800000.0,"76,360元/平",VR看装修 房本满五年 
玫瑰御园  一梯两户 南北通透两居室,玫瑰御园,四季青,2室2厅 ,124.96, 南 北 , 简装 ,12, 2005年 , 板楼,72, 4个月以前发布,14300000.0,"114,437元/平",近地铁 VR房源 房本满五年 随时看房 
金隅美和园 南北通透 中间位置电梯两居室 临近公园,金隅美和园,清河,2室1厅 ,85.22, 南 北 , 精装 ,9, 2008年 , 板楼,36, 5个月以前发布,6650000.0,"78,034元/平",近地铁 VR看装修 房本满五年 
卧室均朝南 全新装修 全屋定制家具 区域聚焦房源,上林溪,安宁庄,2室1厅 ,91.96, 南 , 精装 ,18, 2011年 , 板塔结合,187, 5个月以前发布,8550000.0,"92,976元/平",VR看装修 房本满两年 
西直门 南北通透三居室 无遮挡 满年唯一 诚意出售,高梁桥斜街乙40号院,西直门,3室1厅 ,77.4, 南 北 , 简装 ,6, 1990年 , 板楼,26, 4个月以前发布,7300000.0,"94,316元/平",近地铁 VR看装修 房本满五年 随时看房 
北太平庄南北两居带电梯健德门十号线牡丹园十九号线,牡丹园东里,牡丹园,2室1厅 ,75.3, 南 北 , 简装 ,12, 1996年 , 板塔结合,39, 5个月以前发布,7380000.0,"98,008元/平",VR看装修 房本满五年 
怡美家园 有电梯 视野宽阔 采光充足 交通便利,怡美家园,上地,2室1厅 ,87.56, 南 北 , 精装 ,19, 2001年 , 板楼,56, 4个月以前发布,7680000.0,"87,712元/平",VR看装修 房本满五年 随时看房 
苏州桥紫金庄园  双南两居室，全明格局,紫金庄园,苏州桥,2室1厅 ,67.37, 南 , 简装 ,22, 1999年 , 塔楼,94, 5个月以前发布,5720000.0,"84,905元/平",近地铁 VR看装修 房本满两年 
知春里 西南北向3居室高层带电梯业主诚售,知春里,双榆树,3室1厅 ,84.57, 南 西 北 , 精装 ,18, 1999年 , 塔楼,64, 3个月以前发布,8600000.0,"101,691元/平",近地铁 VR看装修 随时看房 
垂虹园通透三居 南北双阳台 明厨明卫 有钥匙,垂虹园,世纪城,3室2厅 ,171.63, 西南 , 简装 ,18, 2004年 , 塔楼,23, 5个月以前发布,18900000.0,"110,121元/平",近地铁 VR看装修 随时看房 
田村40号院 南北通透两居 中间楼层 近地铁,田村40号院,田村,2室1厅 ,49.7, 南 北 , 精装 ,5, 1976年 , 板楼,58, 5个月以前发布,3690000.0,"74,246元/平",近地铁 VR看装修 房本满两年 随时看房 
满五唯一 您期待的温馨小户型 有钥匙 无遮挡,毛纺厂南小区,清河,1室0厅 ,35.81, 东 西 , 简装 ,6, 1993年 , 板楼,133, 4个月以前发布,2630000.0,"73,444元/平",近地铁 VR看装修 房本满五年 随时看房 
宝盛里观澳园，房主诚意出售，稳定签约，看房方便,观澳园,清河,1室1厅 ,44.86, 南 , 精装 ,5, 2005年 , 板楼,56, 8个月以前发布,3590000.0,"80,027元/平",VR看装修 房本满五年 随时看房 
上地东里全明格局三居室，中间楼层，南北通透，精装修,上地东里,上地,3室1厅 ,128.23, 南 北 , 精装 ,5, 1996年 , 板楼,24, 7个月以前发布,14800000.0,"115,418元/平",近地铁 VR看装修 房本满两年 
华清嘉园 中间楼层 采光好 不临街 看房方便,华清嘉园,五道口,2室1厅 ,71.11, 西 , 简装 ,18, 2000年 , 塔楼,50, 4个月以前发布,8200000.0,"115,315元/平",近地铁 VR房源 房本满五年 
翠微路22号院中间层南北通透两居，看房方便,翠微路22号院,公主坟,2室1厅 ,53.04, 南 北 , 精装 ,6, 1994年 , 板楼,19, 4个月以前发布,5470000.0,"103,130元/平",近地铁 VR看装修 房本满两年 
天秀北路水利局新上精装两居 南北通透 中间楼层,水利局小区,马连洼,2室1厅 ,65.5, 南 北 , 精装 ,5, 1987年 , 板楼,7, 5个月以前发布,4990000.0,"76,184元/平",近地铁 VR看装修 房本满五年 
房子是双卧朝南双空气对流，采光视野好，生活居住舒适,西翠路12号院,万寿路,2室1厅 ,67.3, 南 , 精装 ,18, 1991年 , 塔楼,38, 6个月以前发布,7650000.0,"113,671元/平",近地铁 VR看装修 房本满两年 
宝盛里观澳园，满五唯一，南北通透，看房随时，靠谱卖,观澳园,清河,1室1厅 ,75.86, 南 北 , 简装 ,5, 2005年 , 板楼,24, 5个月以前发布,5350000.0,"70,525元/平",VR看装修 房本满五年 随时看房 
新起点嘉园 东南精装三居 满五年唯一 落地窗 采光好,新起点嘉园,万柳,3室1厅 ,153.43, 东南 , 精装 ,20, 2002年 , 塔楼,51, 一年前发布,14800000.0,"96,461元/平",近地铁 VR看装修 房本满五年 随时看房 
总监推荐 双南方正两居 精装修  看房提前联系,蓟门东里,知春路,2室1厅 ,48.4, 南 , 精装 ,16, 1986年 , 塔楼,67, 3个月以前发布,4550000.0,"94,009元/平",近地铁 VR看装修 房本满两年 
全南向三居室 两卫生间 格局方正无浪费,气象西苑,紫竹桥,3室2厅 ,113.86, 南 , 简装 ,18, 2001年 , 板塔结合,97, 4个月以前发布,11700000.0,"102,758元/平",VR看装修 
附带40平米，店长推荐，诚意出售，上下三层,安宁里南区,安宁庄,3室3厅 ,84.95, 南 北 , 精装 ,7, 2000年 , 板楼,65, 7个月以前发布,4490000.0,"52,855元/平",VR房源 房本满两年 随时看房 
积水潭地铁站  五月华庭 一居室 业主诚心出售,五月华庭,小西天,1室1厅 ,34.29, 西 , 精装 ,12, 2004年 , 塔楼,26, 5个月以前发布,3030000.0,"88,364元/平",近地铁 VR看装修 房本满两年 随时看房 
金隅翡丽蓝爵堡 1室1厅 南,金隅翡丽蓝爵堡,西三旗,1室1厅 ,64.75, 南 , 精装 ,5, 2016年 , 板楼,28, 4个月以前发布,5910000.0,"91,275元/平",VR看装修 房本满五年 
明光村小区 全南一居室 满五年唯一采光好,明光村小区,小西天,1室1厅 ,39.0, 南 , 简装 ,5, 1980年 , 板楼,32, 10个月以前发布,3200000.0,"82,052元/平",VR看装修 房本满五年 
毛纺厂南小区，满五年，经典户型,毛纺厂南小区,清河,2室1厅 ,54.2, 北 南 , 简装 ,5, 1980年 , 板楼,19, 9个月以前发布,3600000.0,"66,421元/平",近地铁 VR房源 房本满五年 
清河嘉园东向正规一居室，带三个阳台，采光好,强佑清河新城府学上院,清河,1室1厅 ,60.39, 东 , 精装 ,27, 2009年 , 板塔结合,13, 6个月以前发布,4690000.0,"77,662元/平",近地铁 VR看装修 房本满五年 
车道沟10号院 南向中间层 视野采光无遮挡 满五年唯一,车道沟10号院,紫竹桥,1室1厅 ,42.3, 南 , 精装 ,6, 1985年 , 板楼,31, 5个月以前发布,3800000.0,"89,835元/平",近地铁 VR看装修 房本满五年 
区位海淀，建西苑南里，南向一居室,建西苑南里,杨庄,1室1厅 ,57.95, 南 , 简装 ,7, 1998年 , 板楼,13, 7个月以前发布,4100000.0,"70,751元/平",VR看装修 房本满五年 
海淀南路 业主自住精装修 南向不临街 有电梯 看房方便,海淀南路,苏州桥,1室1厅 ,44.9, 南 , 精装 ,16, 1984年 , 塔楼,15, 一年前发布,4800000.0,"106,905元/平",近地铁 VR看装修 房本满五年 
房子是精装修，南向一居室，采光好，无遮挡,海淀南路,苏州桥,1室1厅 ,44.5, 南 , 精装 ,16, 1989年 , 塔楼,20, 5个月以前发布,4450000.0,"100,000元/平",近地铁 VR看装修 房本满五年 
塔院小区 南向一居明厨明卫 总价和单价低 采光视野好,塔院小区,牡丹园,1室1厅 ,46.4, 南 , 简装 ,6, 1986年 , 板楼,46, 7个月以前发布,3200000.0,"68,966元/平",近地铁 VR房源 房本满五年 
七贤村  八里庄 定慧寺  花园桥 首师大 甘家口,七贤村,紫竹桥,2室1厅 ,62.4, 南 北 , 简装 ,6, 1986年 , 板楼,44, 4个月以前发布,4500000.0,"72,116元/平",VR看装修 房本满五年 
小南庄社区 单独管理 南北通透 不临街 楼层低,小南庄社区,苏州桥,2室1厅 ,63.51, 南 北 , 简装 ,6, 2000年 , 板楼,14, 7个月以前发布,6100000.0,"96,048元/平",近地铁 VR房源 房本满五年 
雪芳园 楼龄新 近地铁 满五唯一商品房,雪芳园,田村,2室1厅 ,104.13, 西南 , 精装 ,16, 2013年 , 板塔结合,41, 5个月以前发布,7600000.0,"72,986元/平",近地铁 VR看装修 房本满五年 随时看房 
明光北里 央产房 中间层 南北向三居室 不临街 管理好,明光北里,小西天,3室1厅 ,82.0, 南 北 , 精装 ,6, 1997年 , 板塔结合,24, 5个月以前发布,7700000.0,"93,903元/平",近地铁 VR看装修 房本满五年 
西直门 交大嘉园 高层 视野好 看房方便 业主诚售,交大嘉园,西直门,2室1厅 ,82.24, 西 , 精装 ,19, 2003年 , 塔楼,71, 一年前发布,8550000.0,"103,965元/平",VR房源 房本满五年 
双榆树少有南北朝向正规大客厅大厨卫楼龄新2000年左右,榆苑公寓,双榆树,2室1厅 ,57.7, 南 北 , 简装 ,7, 1999年 , 板楼,62, 6个月以前发布,5380000.0,"93,241元/平",近地铁 VR房源 房本满五年 
铭科苑 中间楼层两居室 格局方正,铭科苑,西二旗,2室1厅 ,71.3, 东 西 , 简装 ,6, 1997年 , 板楼,47, 8个月以前发布,4520000.0,"63,395元/平",近地铁 VR看装修 房本满五年 随时看房 
房子满五年 南北通透 双卧朝南 客厅落地窗,燕尚园,西二旗,3室1厅 ,98.71, 南 北 , 精装 ,8, 2006年 , 板楼,101, 4个月以前发布,9200000.0,"93,203元/平",近地铁 VR看装修 房本满五年 随时看房 
美和园全阳面两居，已转商，好楼层，有电梯，采光好。,金隅美和园,清河,2室1厅 ,81.98, 南 , 简装 ,9, 2008年 , 板楼,34, 6个月以前发布,6750000.0,"82,338元/平",VR看装修 房本满两年 
海淀 北四环 商品房社区 健翔园 南向2居 满五唯一,健翔园,二里庄,2室1厅 ,87.38, 南 , 精装 ,24, 2000年 , 塔楼,47, 6个月以前发布,7980000.0,"91,326元/平",VR看装修 房本满五年 
西四环内南北通透两居 格局方正 餐客厅独立 三个阳台,永安东里,定慧寺,2室2厅 ,84.1, 南 北 , 精装 ,6, 1998年 , 板楼,21, 4个月以前发布,6890000.0,"81,927元/平",近地铁 VR房源 房本满两年 
车道沟南里正规两居室，精装修，有车位，满五唯一。,车道沟南里,紫竹桥,2室1厅 ,49.8, 东 , 精装 ,21, 1991年 , 塔楼,61, 5个月以前发布,4590000.0,"92,169元/平",近地铁 VR看装修 房本满五年 
怡清园两居，电梯直达，南向落地阳台，视野开阔，诚售,怡清园,清河,2室1厅 ,117.54, 南 , 简装 ,15, 2003年 , 板塔结合,42, 5个月以前发布,6880000.0,"58,534元/平",近地铁 VR房源 房本满五年 随时看房 
水清木华园 两居室有电梯 正对小区花园 安静不临街,水清木华园,五道口,2室1厅 ,92.62, 西 , 精装 ,18, 2000年 , 塔楼,30, 9个月以前发布,9980000.0,"107,753元/平",VR看装修 房本满五年 随时看房 
车道沟10号院中间楼层南北通透满五年公 房业主诚售,车道沟10号院,紫竹桥,2室1厅 ,66.1, 南 北 , 简装 ,5, 1963年 , 板楼,119, 4个月以前发布,5600000.0,"84,721元/平",近地铁 VR看装修 房本满五年 随时看房 
世华龙樾一期西区 满五年唯一 中楼层 南北通透,世华龙樾一期西区,清河,2室1厅 ,75.9, 南 北 , 简装 ,18, 2014年 , 板塔结合,89, 4个月以前发布,6800000.0,"89,592元/平",VR看装修 房本满五年 随时看房 
育新嘉园 精装修 南北通透两居室,育新嘉园,西三旗,2室1厅 ,91.56, 南 北 , 精装 ,14, 2002年 , 板塔结合,183, 5个月以前发布,4800000.0,"52,425元/平",VR看装修 房本满两年 随时看房 
西二旗铭科苑中间层满五唯一双卧南两居室,铭科苑,西二旗,2室1厅 ,66.3, 南 北 , 精装 ,6, 1997年 , 板楼,76, 一年前发布,4750000.0,"71,645元/平",近地铁 VR看装修 房本满五年 随时看房 
静淑苑两居室，不临街，满五唯一，诚意出售，看房方便,静淑苑,学院路,2室1厅 ,49.3, 南 北 , 精装 ,7, 1996年 , 板楼,26, 5个月以前发布,4480000.0,"90,873元/平",近地铁 VR看装修 房本满五年 随时看房 
楼龄新位置安静精装采光无遮挡满五唯一,水云居,四季青,2室2厅 ,123.37, 南 北 , 精装 ,7, 2011年 , 板楼,61, 5个月以前发布,13999000.0,"113,472元/平",VR看装修 房本满五年 随时看房 
万寿路甲15号院五区  中高楼层  采光好  安全安静安心,万寿路甲15号院五区,万寿路,2室1厅 ,81.1, 东南 , 简装 ,17, 1999年 , 塔楼,42, 9个月以前发布,10200000.0,"125,771元/平",近地铁 VR看装修 房本满两年 随时看房 
店长推荐西三环铁路小区，双南两居室，不临街采光好,铁路小区,六里桥,2室1厅 ,71.54, 西南 , 毛坯 ,24, 2001年 , 塔楼,37, 3个月以前发布,5800000.0,"81,074元/平",VR房源 随时看房 
