东城区二环内 天坛北门 桥湾地铁站 金鱼池西区南北2居,金鱼池西区,天坛,2室1厅 ,61.85, 南 北 , 精装 ,5, 2002年 , 板楼,56, 3个月以前发布,6050000.0,"97,818元/平",近地铁 VR房源 房本满五年 随时看房 
费用少不是一层出行方便可以拎包入住,东花市北里西区,东花市,2室1厅 ,60.87, 东 西 , 精装 ,6, 1995年 , 板楼,48, 4个月以前发布,5630000.0,"92,493元/平",VR看装修 房本满两年 
龙潭北里 楼龄新 有电梯 诚意卖！,龙潭北里,左安门,2室1厅 ,87.69, 西 北 , 精装 ,9, 2000年 , 塔楼,16, 10个月以前发布,6500000.0,"74,125元/平",VR看装修 房本满五年 
和平新城东南三居室 有地下车库 满五年唯一 着急出售,和平新城一期,和平里,3室1厅 ,152.14, 东南 , 简装 ,19, 2003年 , 板塔结合,27, 6个月以前发布,18750000.0,"123,242元/平",近地铁 VR房源 房本满五年 
新增东城区南北通透中间楼层精装两居室带客厅,定安里,永定门,2室1厅 ,54.34, 南 北 , 精装 ,6, 1980年 , 板楼,110, 4个月以前发布,3990000.0,"73,427元/平",VR看装修 房本满五年 
广渠门商圈南向正规一居室，视野无遮挡，小区安静宜居,夕照寺西里,广渠门,1室1厅 ,42.59, 南 , 简装 ,5, 1984年 , 板楼,8, 6个月以前发布,4250000.0,"99,789元/平",近地铁 VR看装修 房本满五年 
民旺园 双南向正规2居室 满五年唯一住宅 业主诚意出售,民旺园,和平里,2室1厅 ,47.61, 南 , 精装 ,4, 1999年 , 板楼,28, 5个月以前发布,5980000.0,"125,604元/平",近地铁 VR房源 房本满五年 
广渠门内大街  文汇 有电梯 无遮挡 大两居,广渠门内大街,广渠门,2室1厅 ,65.47, 南 北 , 简装 ,14, 1987年 , 板楼,73, 4个月以前发布,5590000.0,"85,383元/平",近地铁 VR看装修 随时看房 
东城陶然亭 中海紫御经典两居 视野好看房有钥匙,中海紫御公馆,陶然亭,2室2厅 ,91.09, 南 , 精装 ,20, 2010年 , 板塔结合,100, 10个月以前发布,10800000.0,"118,565元/平",VR看装修 房本满两年 随时看房 
东城区 二环内 东南两居室 商品房,左安浦园,左安门,2室1厅 ,85.18, 东南 , 简装 ,18, 2004年 , 板楼,74, 1个月以前发布,6550000.0,"76,896元/平",VR房源 房本满五年 
胡家园小区2000年楼龄单独管理，不临街，采光好,胡家园小区,东直门,3室1厅 ,119.02, 东 南 , 简装 ,10, 2000年 , 板塔结合,11,5,10200000.0,"85,700元/平",VR看装修 房本满五年 随时看房 
此房满五唯一，发改委单位宿舍，管理好，楼龄新,西革新里108号院,永定门,3室1厅 ,113.32, 南 北 , 精装 ,6, 1996年 , 板楼,89, 3个月以前发布,6350000.0,"56,037元/平",VR看装修 房本满五年 
远洋德邑 正规一居 有天然气 看小区花园 24小时保安,远洋德邑,广渠门,1室1厅 ,63.5, 北 , 简装 ,22, 2002年 , 塔楼,15, 2个月以前发布,6320000.0,"99,528元/平",VR看装修 房本满五年 随时看房 
东直门 北新桥 东四十四条 石雀胡同平房,石雀胡同,东四,1室0厅 ,11.0, 北 , 简装 ,1, 1988年 , 平房,21, 2个月以前发布,1650000.0,"150,000元/平",近地铁 VR看装修 房本满五年 随时看房 
禄米仓胡同71号院 南北通透低楼层3居室 双卫 精装修,禄米仓胡同71号院,朝阳门内,3室1厅 ,66.35, 南 北 , 精装 ,6, 1982年 , 板楼,15, 2个月以前发布,7800000.0,"117,559元/平",VR看装修 房本满五年 
总监推荐 楼下护城河 视野采光好 出小区即环保运动道,柏林寺西,和平里,2室1厅 ,64.2, 东南 , 精装 ,16, 1994年 , 塔楼,30, 2个月以前发布,7560000.0,"117,758元/平",近地铁 VR看装修 房本满五年 随时看房 
海运仓小区  南北通透 三室两卫 满五年唯一  诚意出售,海运仓小区,东直门,3室1厅 ,82.72, 南 北 , 精装 ,7, 2002年 , 板楼,30, 2个月以前发布,10300000.0,"124,517元/平",VR看装修 房本满五年 随时看房 
朝南一居室，诚心出售，户型方正,交道口北二条35号院,交道口,1室1厅 ,42.22, 南 , 简装 ,6, 1988年 , 板楼,7, 3个月以前发布,5600000.0,"132,639元/平",VR看装修 随时看房 
安化北里 南北通透两居室 交通便利 配套齐全,安化北里,广渠门,3室1厅 ,56.81, 南 北 , 简装 ,5, 1970年 , 板楼,18, 2个月以前发布,4980000.0,"87,661元/平",VR看装修 
东二环水上华城朝南开间满5年高层观小区花园,水上华城,广渠门,1室0厅 ,57.13, 南 , 其他 ,24, 2008年 , 板塔结合,8,8,5600000.0,"98,023元/平",VR房源 房本满五年 
东二环水上华城朝南开间满5年高层观小区花园,水上华城,广渠门,1室0厅 ,57.13, 南 , 其他 ,24, 2008年 , 板塔结合,8,8,5600000.0,"98,023元/平",VR房源 房本满五年 
东城 望陶园 东南两居室 高楼层 视野好,望陶园小区,永定门,2室1厅 ,88.96, 东南 , 简装 ,18, 2001年 , 塔楼,12,11,6800000.0,"76,439元/平",近地铁 VR看装修 房本满五年 
东直门北大街 满五唯一 高层 视野好 物业管理好,东直门北大街,东直门,3室1厅 ,77.0, 东 西 , 简装 ,14, 1990年 , 板楼,15, 3个月以前发布,6600000.0,"85,715元/平",近地铁 VR房源 随时看房 
景泰东里 2室1厅 南 北,景泰东里,蒲黄榆,2室1厅 ,67.7, 南 北 , 毛坯 ,9, 1994年 , 板塔结合,36,14,4850000.0,"71,640元/平",近地铁 VR房源 房本满五年 随时看房 
只售一周，价格实惠，业主换房，一口价499，有钥匙,东花市大街2号院,东花市,2室1厅 ,50.12, 南 北 , 其他 ,6, 1980年 , 板楼,18,16,4990000.0,"99,562元/平",VR房源 房本满两年 随时看房 
二环内 永定门东街西里 中间楼层 南北两居室 看房随时,永定门东街西里,天坛,2室1厅 ,50.37, 南 北 , 简装 ,5, 1974年 , 板楼,32, 2个月以前发布,4090000.0,"81,200元/平",VR房源 房本满五年 随时看房 
地铁口 南北通透两居  格局方正 满五年 周边配套好,新景家园东区,崇文门,2室1厅 ,74.9, 南 北 , 精装 ,16, 2004年 , 板楼,50, 1个月以前发布,7690000.0,"102,671元/平",VR看装修 房本满五年 
和平里中街3号院 全明格局两居室,和平里中街3号院,和平里,2室1厅 ,88.3, 西北 , 简装 ,21, 2006年 , 塔楼,7, 1个月以前发布,9350000.0,"105,890元/平",近地铁 VR看装修 房本满五年 随时看房 
和平里花园小区，中间楼层，南北朝向，距地坛公园50米,安外花园,和平里,2室1厅 ,57.95, 南 北 , 简装 ,6, 1990年 , 板楼,53, 1个月以前发布,5680000.0,"98,016元/平",近地铁 VR看装修 房本满五年 
和平新城一期 跃层洋房 满五年唯一 诚心出售,和平新城一期,和平里,2室2厅 ,132.32, 东 , 精装 ,21, 2003年 , 板楼,38, 3个月以前发布,11600000.0,"87,667元/平",近地铁 VR房源 房本满五年 
化工大院 2室1厅 南,化工大院,和平里,2室1厅 ,62.39, 南 , 简装 ,5, 1988年 , 板楼,14,15,6490000.0,"104,024元/平",近地铁 VR看装修 随时看房 
海运仓 朝南一居 高楼层 采光视野好 电梯直达 位置好,海运仓胡同3号院,东直门,1室1厅 ,38.5, 南 , 精装 ,18, 1998年 , 塔楼,14,10,4200000.0,"109,091元/平",近地铁 VR看装修 房本满五年 
东城区商品房 满五年唯一 精装修 两居室,景泰西里西区,永定门,2室1厅 ,60.3, 南 , 精装 ,10, 2005年 , 板塔结合,55, 1个月以前发布,4750000.0,"78,773元/平",近地铁 VR看装修 房本满五年 
房子南北通透，没有遮挡，商品房，看房随时，出行便利,崇文门东大街,崇文门,2室1厅 ,68.26, 南 北 , 其他 ,12, 1980年 , 板楼,5,8,6150000.0,"90,097元/平",近地铁 VR看装修 随时看房 
天坛公园南门  永定门东街中里,永定门东街中里,天坛,2室1厅 ,47.32, 南 北 , 精装 ,5, 1970年 , 板楼,10, 1个月以前发布,4380000.0,"92,562元/平",VR看装修 房本满两年 
2中，金宝街，电梯直达，有钥匙，商品房，满五年,朝阳门南小街,朝阳门内,2室1厅 ,75.41, 东 西 , 精装 ,9, 2004年 , 板楼,20,14,7680000.0,"101,844元/平",VR房源 房本满五年 随时看房 
国瑞城 高楼层 视野好 拎包入住 采光好 诚意出售,国瑞城中区,崇文门,2室1厅 ,75.76, 西北 , 精装 ,16, 2006年 , 塔楼,22, 3个月以前发布,7650000.0,"100,977元/平",VR看装修 房本满五年 
国瑞城中区 全明格局 落地窗 双阳台 不临街 仅契税,国瑞城中区,崇文门,3室1厅 ,103.4, 西南 北 , 精装 ,16, 2006年 , 板塔结合,61, 3个月以前发布,10350000.0,"100,097元/平",近地铁 VR看装修 房本满五年 
东直门北大街 2室1厅 东,东直门北大街,东直门,2室1厅 ,61.39, 东 , 简装 ,14, 1990年 , 板楼,4, 4个月以前发布,6750000.0,"109,953元/平",近地铁 VR房源 房本满五年 
北二环护城河畔雍和宫地坛公园南门满五唯一通透三居,安外东河沿,安定门,3室2厅 ,96.62, 南 北 , 精装 ,7, 1998年 , 板楼,264, 4个月以前发布,11890000.0,"123,060元/平",近地铁 VR房源 房本满五年 随时看房 
东城 2号线东四十条  1998年明厨明卫 南卧南厅,王家园胡同,朝阳门外,2室1厅 ,70.0, 南 , 简装 ,6, 1998年 , 板楼,27, 3个月以前发布,6660000.0,"95,143元/平",VR房源 房本满五年 随时看房 
东城东直门，满五年唯一，东西通透三居室,海晟名苑南区,工体,3室2厅 ,139.31, 东 西 , 简装 ,22, 2003年 , 板塔结合,28, 11个月以前发布,19000000.0,"136,387元/平",近地铁 VR看装修 房本满五年 随时看房 
东城永铁苑中层两居，大面宽、视野开阔！,永铁苑,陶然亭,2室1厅 ,86.87, 西南 , 精装 ,22, 2000年 , 塔楼,10, 2个月以前发布,6750000.0,"77,703元/平",近地铁 VR看装修 房本满五年 
前门东小街 单独管理 西向两居室 业主诚心出售,前门东小街,崇文门,2室1厅 ,49.8, 西 , 简装 ,10, 1994年 , 板楼,7,19,5200000.0,"104,418元/平",VR房源 房本满两年 随时看房 
安交  满五年唯一 精装修 南北通透格局 出行方便,交道口北二条35号院,交道口,2室1厅 ,50.96, 南 北 , 精装 ,6, 1988年 , 板楼,15, 2个月以前发布,7490000.0,"146,979元/平",近地铁 VR房源 房本满五年 随时看房 
东城 和平里 青年湖周围 南北三居室 满五唯一 有车位,安德路47号院,安定门,3室1厅 ,66.6, 南 北 , 精装 ,6, 1979年 , 板楼,9,18,6990000.0,"104,955元/平",近地铁 VR房源 房本满五年 
天坛公园西门 8号线天桥站 复康南里 一层 东南向2居室,复康南里,天坛,2室1厅 ,46.79, 东 南 , 简装 ,6, 1980年 , 板楼,10,10,4150000.0,"88,695元/平",VR房源 随时看房 
六层复式观天坛美景 三居室 满五唯一商品房 有钥匙,金鱼池西区,天坛,3室2厅 ,101.65, 南 北 , 简装 ,7, 2002年 , 板楼,23,10,7600000.0,"74,767元/平",VR房源 房本满五年 随时看房 
东城2009年商品房，格局合理，中间楼层，宜居社区,华龙美晟,永定门,2室1厅 ,76.56, 西北 , 精装 ,8, 2009年 , 板塔结合,51, 1个月以前发布,5560000.0,"72,623元/平",VR房源 随时看房 
优质好房，高楼层，采光视野好，不临街，南北通透两居,新景家园西区,崇文门,2室1厅 ,73.85, 南 北 , 精装 ,18, 2004年 , 板楼,56, 1个月以前发布,8180000.0,"110,766元/平",VR房源 房本满五年 随时看房 
和平里五区中间层不临街业主产权清晰诚意出售,和平里五区,和平里,1室1厅 ,40.57, 东南 , 简装 ,6, 1996年 , 板楼,3,17,5150000.0,"126,942元/平",近地铁 VR看装修 房本满五年 
西青年沟双南两居室采光好前后无遮挡,西青年沟,安贞,2室1厅 ,47.8, 南 , 精装 ,6, 1983年 , 板楼,13, 2个月以前发布,5350000.0,"111,925元/平",近地铁 VR房源 房本满两年 随时看房 
地坛北里 南北向双阳台 精装修中间层 挨着5号线地铁,地坛北里,和平里,2室1厅 ,58.29, 南 北 , 精装 ,5, 1990年 , 板楼,8, 1个月以前发布,6980000.0,"119,747元/平",近地铁 VR看装修 房本满两年 
东城区2009年次新房 地铁广渠门外站200米精装修高楼层,广渠家园,广渠门,2室1厅 ,71.43, 东 , 精装 ,29, 2009年 , 板塔结合,22, 一年前发布,6580000.0,"92,119元/平",VR看装修 
交东小区 香饵胡同 板楼3层精装修 采光好 随时签约,香饵胡同,交道口,2室1厅 ,68.74, 东 西 , 精装 ,6, 2002年 , 板楼,14, 2个月以前发布,8950000.0,"130,201元/平",近地铁 VR看装修 房本满五年 
东城区 永定门外 朝南一居出售 无遮挡,东革新里40号院,永定门,1室1厅 ,36.47, 南 , 简装 ,5, 1979年 , 板楼,17, 1个月以前发布,3320000.0,"91,034元/平",近地铁 VR看装修 房本满两年 随时看房 
富贵园三区二居室，很少出同户型,富贵园三区,东花市,2室1厅 ,63.99, 东北 , 精装 ,16, 2002年 , 板楼,17, 1个月以前发布,6600000.0,"103,142元/平",VR看装修 房本满五年 
东城区 2005年商品房 南北大两居 满五年唯一 精装修,新奥洋房,永定门,2室1厅 ,119.89, 东 南 北 , 精装 ,9, 2005年 , 板塔结合,27, 1个月以前发布,11200000.0,"93,419元/平",近地铁 VR房源 房本满五年 
枣苑三期唯一板楼，温泉入户，正规南北三居室,花市枣苑三期,东花市,3室2厅 ,138.55, 南 北 , 精装 ,12, 2005年 , 板塔结合,36, 2个月以前发布,16800000.0,"121,256元/平",VR看装修 房本满五年 随时看房 
东城区南二环满五年唯一，朝南向采光好，视野无遮挡,李村南里,永定门,1室1厅 ,41.97, 南 , 简装 ,6, 1990年 , 板楼,8, 1个月以前发布,3450000.0,"82,202元/平",近地铁 VR看装修 房本满五年 随时看房 
广渠家园，两梯四户板楼 南向一居室,广渠家园,广渠门,1室1厅 ,54.67, 南 , 毛坯 ,17, 2009年 , 板塔结合,4, 1个月以前发布,5250000.0,"96,031元/平",近地铁 VR看装修 随时看房 
东城区 冠城名敦道A区 东北无遮挡 正对国贸 高层视野,冠城名敦道A区,广渠门,3室1厅 ,131.74, 东北 , 精装 ,23, 2009年 , 板塔结合,9, 1个月以前发布,6990000.0,"53,060元/平",VR房源 房本满两年 随时看房 
化工大院 2室1厅 南 北,化工大院,和平里,2室1厅 ,57.09, 南 北 , 简装 ,5, 1988年 , 板楼,21,15,6300000.0,"110,353元/平",近地铁 VR房源 随时看房 
东城区 南二环 05年小区 带地库车位 有电梯 近地铁,景泰西里西区,永定门,2室1厅 ,60.29, 南 , 精装 ,10, 2005年 , 板塔结合,276, 5个月以前发布,4650000.0,"77,128元/平",近地铁 VR看装修 房本满两年 随时看房 
华龙美晟好户型两居室 客厅卧室都是在外面无遮挡,华龙美晟,永定门,2室1厅 ,83.93, 西 , 精装 ,12, 2009年 , 板塔结合,83, 7个月以前发布,7000000.0,"83,403元/平",近地铁 VR看装修 房本满两年 随时看房 
广渠门 金世纪嘉园东南北朝向 采光充足,金世纪嘉园,广渠门,2室1厅 ,64.84, 东南 北 , 简装 ,21, 2004年 , 塔楼,22, 5个月以前发布,5500000.0,"84,825元/平",近地铁 VR看装修 房本满两年 随时看房 
东城和平里 南北两居中间层 成本价可贷款 94年近地铁,小黄庄一区,安贞,2室1厅 ,55.76, 南 北 , 精装 ,6, 1994年 , 板楼,26, 6个月以前发布,6800000.0,"121,952元/平",近地铁 VR房源 房本满两年 随时看房 
广渠家园，东城区，满五唯一两居，带车位，二环边,广渠家园,广渠门,2室2厅 ,71.15, 西 , 精装 ,29, 2009年 , 板塔结合,124, 4个月以前发布,6100000.0,"85,735元/平",VR房源 房本满五年 随时看房 
1995年建 二层 龙体区域 价格有惊喜,南水关,广渠门,2室1厅 ,62.18, 西 东 , 简装 ,6, 1995年 , 板楼,114, 5个月以前发布,5250000.0,"84,433元/平",近地铁 VR看装修 房本满五年 随时看房 
金世纪嘉园 西南向采光好 精致小两居,金世纪嘉园,广渠门,2室1厅 ,67.02, 西南 , 精装 ,21, 2004年 , 塔楼,26, 10个月以前发布,6290000.0,"93,853元/平",近地铁 VR看装修 房本满五年 随时看房 
林调社区，全明格局三居室，视野好，楼龄新，带电梯,林调社区,和平里,3室1厅 ,83.63, 东南 北 , 精装 ,13, 1991年 , 板塔结合,28, 3个月以前发布,11430000.0,"136,674元/平",近地铁 VR看装修 
东城区永定门外地铁口南向满五唯一商品房,东革新里40号院,永定门,1室1厅 ,40.96, 南 , 精装 ,6, 1983年 , 板楼,54, 3个月以前发布,3250000.0,"79,346元/平",近地铁 VR房源 房本满五年 
和平里中街3号院高楼层两居室有电梯楼龄新有地库,和平里中街3号院,和平里,2室1厅 ,75.82, 东南 , 精装 ,20, 2006年 , 塔楼,81, 4个月以前发布,8290000.0,"109,338元/平",近地铁 VR看装修 随时看房 
东公街二居室 中间层 采光好无遮挡 看房方便,东公街64号院,地安门,2室1厅 ,54.89, 南 , 毛坯 ,6, 1985年 , 板楼,6, 3个月以前发布,6980000.0,"127,164元/平",近地铁 VR看装修 随时看房 
东城和平里安外花园 朝南向一居 无遮挡 看房随时,安外花园,和平里,1室1厅 ,42.1, 南 , 简装 ,6, 1990年 , 板楼,77, 8个月以前发布,4150000.0,"98,575元/平",近地铁 VR看装修 房本满五年 随时看房 
东花市北里中区经典两居室 配套设施齐全 交通便利,东花市北里中区,东花市,2室1厅 ,78.75, 东 , 精装 ,6, 1994年 , 塔楼,72, 7个月以前发布,5700000.0,"72,381元/平",VR看装修 房本满两年 随时看房 
京城仁合商品房本两居室满五年唯一。,京城仁合,广渠门,2室1厅 ,83.62, 东 北 , 精装 ,16, 2004年 , 板塔结合,27, 5个月以前发布,8850000.0,"105,836元/平",VR看装修 房本满五年 
楼层佳东向正规一居室业主诚心出售,东花市北里中区,东花市,1室1厅 ,47.72, 东 , 精装 ,6, 1990年 , 塔楼,13, 3个月以前发布,4600000.0,"96,396元/平",近地铁 VR看装修 房本满五年 
府上嘉园 08年电梯小区 满五唯一商品房 有地下停车位,府上嘉园,安定门,2室1厅 ,68.21, 东 , 精装 ,11, 2008年 , 板塔结合,20, 4个月以前发布,9700000.0,"142,208元/平",近地铁 VR看装修 房本满五年 随时看房 
东交民巷32号院  精装修 2居室 拎包入住 高层 视野好,东交民巷32号院,前门,2室1厅 ,49.14, 东 , 精装 ,13, 1979年 , 板塔结合,6, 4个月以前发布,5350000.0,"108,873元/平",近地铁 VR看装修 房本满两年 
广渠门内 夕照寺西里，精装两居，位置安静，采光好！,夕照寺西里,广渠门,2室1厅 ,47.78, 南 北 , 精装 ,5, 1978年 , 板楼,13, 4个月以前发布,5250000.0,"109,879元/平",近地铁 VR看装修 房本满五年 
黄寺大街2号院  有租赁车位  管理好  居住舒适,黄寺大街2号院,安定门,2室1厅 ,58.02, 南 北 , 简装 ,6, 1990年 , 板楼,20, 4个月以前发布,5450000.0,"93,934元/平",近地铁 VR房源 房本满五年 
正东国际大厦 70年产权 满五年家庭唯一,正东国际大厦,东直门,5室1厅 ,305.56, 东南 , 精装 ,27, 2004年 , 塔楼,108, 一年前发布,23000000.0,"75,272元/平",VR房源 房本满五年 
东直门外大街(东城）二环边 电梯三居室 南北通透,东直门外大街(东城）,东直门,3室1厅 ,88.38, 南 北 , 精装 ,14, 1990年 , 板楼,38, 4个月以前发布,9590000.0,"108,509元/平",近地铁 VR房源 房本满五年 
南北双通透两居，户型方正，业主诚心出售,东花市北里中区,东花市,2室2厅 ,105.81, 南 北 , 精装 ,5, 1995年 , 板楼,26, 5个月以前发布,9390000.0,"88,744元/平",近地铁 VR房源 房本满五年 
人车分流，国瑞城中区，高层南北三居室，户型方正,国瑞城中区,崇文门,3室1厅 ,103.7, 南 北 , 简装 ,16, 2006年 , 塔楼,108, 一年前发布,11950000.0,"115,237元/平",VR看装修 房本满五年 
恒基中心汇豪阁 70年产权 不临街,恒基中心,建国门内,3室2厅 ,160.56, 西南 , 其他 ,23, 1997年 , 板塔结合,41, 11个月以前发布,9800000.0,"61,037元/平",近地铁 VR房源 房本满五年 
京宝花园  上下复式 1994年商品房社区,京宝花园,安定门,2室2厅 ,162.24, 东 西 , 精装 ,12, 1994年 , 板楼,21, 6个月以前发布,10360000.0,"63,857元/平",VR房源 房本满五年 
东方财富满二只有契税高层非顶培新,东方财富,广渠门,1室0厅 ,44.82, 西 , 精装 ,15, 2006年 , 塔楼,5, 5个月以前发布,4600000.0,"102,633元/平",近地铁 VR看装修 房本满两年 
冠城名敦道A区 东城区 2009年建成 双地铁,冠城名敦道A区,广渠门,1室1厅 ,68.68, 西 , 精装 ,23, 2009年 , 板塔结合,13, 7个月以前发布,4190000.0,"61,008元/平",VR看装修 房本满五年 
东城 商品房  对花园朝南 三条地铁出行,兴隆都市馨园,崇文门,1室0厅 ,28.74, 南 , 精装 ,7, 2004年 , 板楼,43, 4个月以前发布,3350000.0,"116,563元/平",近地铁 VR看装修 房本满五年 
东城区 双地铁8+14号线 永定门外 南北通透两居 满5年,管村10号,永定门,2室1厅 ,50.39, 南 北 , 简装 ,6, 1980年 , 板楼,249, 8个月以前发布,3190000.0,"63,307元/平",近地铁 VR看装修 
总监推荐 二环内 封闭管理 南北通透三居室，视野开阔,朝阳门内大街,朝阳门内,3室1厅 ,86.1, 南 北 , 精装 ,5, 1988年 , 板楼,57, 6个月以前发布,6880000.0,"79,908元/平",近地铁 VR看装修 房本满两年 
安德路47号院  1990年楼龄 精装修,安德路47号院,安定门,1室1厅 ,41.92, 南 , 精装 ,6, 1990年 , 板楼,17, 3个月以前发布,4580000.0,"109,256元/平",近地铁 VR看装修 随时看房 
西四块玉59楼中间楼层采光好全明格局交通便利,西四块玉,左安门,2室1厅 ,48.95, 东 , 简装 ,5, 1978年 , 板楼,26, 1个月以前发布,4000000.0,"81,717元/平",近地铁 VR看装修 随时看房 
东城区 永定门外 塔楼 大阳台两居 19层采光充足,革新南路2号院,永定门,2室1厅 ,66.46, 南 , 简装 ,21, 1989年 , 塔楼,45,15,4650000.0,"69,967元/平",近地铁 VR房源 房本满五年 随时看房 
工体北里一居室，装修保持不错，随时签约,工体北里,工体,1室1厅 ,36.68, 东 , 精装 ,6, 1984年 , 板楼,5,18,4690000.0,"127,863元/平",近地铁 VR看装修 房本满两年 
新景家园东区 小区中间位置 南向一居室,新景家园东区,崇文门,1室2厅 ,58.87, 南 , 简装 ,16, 2004年 , 板楼,18,19,6300000.0,"107,016元/平",近地铁 VR房源 房本满五年 随时看房 
朝南一居室  采光好 成本低 诚意卖 看房随时,新景家园西区,崇文门,1室1厅 ,59.89, 南 , 简装 ,13, 2004年 , 板楼,12,11,6450000.0,"107,698元/平",近地铁 VR房源 房本满五年 随时看房 
安化北里南向两居室地铁7号线广渠门内,安化北里,广渠门,2室1厅 ,74.81, 南 , 精装 ,17, 1980年 , 塔楼,14,15,6700000.0,"89,561元/平",VR看装修 房本满两年 随时看房 
总监推荐  满5年唯一 高层观景房 有固定车位 随时可看,京城仁合,广渠门,3室1厅 ,124.27, 东 西 , 精装 ,16, 2004年 , 板楼,41, 5个月以前发布,11500000.0,"92,541元/平",VR房源 房本满五年 
新景家园新上商品房一居 满五唯一中间位置,新景家园东区,崇文门,1室1厅 ,58.05, 南 , 简装 ,16, 2005年 , 板楼,44, 5个月以前发布,7350000.0,"126,615元/平",VR看装修 房本满五年 随时看房 
板厂新里  老干部家属楼  独门独院管理好  户型好,板厂新里,广渠门,2室1厅 ,102.06, 南 北 , 简装 ,4, 1990年 , 板楼,20, 一年前发布,11990000.0,"117,480元/平",VR看装修 房本满五年 随时看房 
富贵园一区独门独户一层半，有花园有车位可当三居使用,富贵园一区,东花市,2室1厅 ,87.04, 南 北 , 简装 ,12, 2004年 , 板楼,34, 一年前发布,13500000.0,"155,102元/平",VR看装修 房本满五年 随时看房 
板厂新里  两室一厅  干部楼  独门独院管理好,板厂新里,广渠门,2室1厅 ,59.93, 南 北 , 简装 ,4, 1990年 , 板楼,23, 一年前发布,7070000.0,"117,971元/平",VR看装修 房本满五年 随时看房 
都市馨园精装全南三居，双阳台落地窗，接受换房客户,兴隆都市馨园,崇文门,3室2厅 ,99.54, 南 , 精装 ,7, 2003年 , 板楼,57, 9个月以前发布,10300000.0,"103,476元/平",VR看装修 房本满五年 随时看房 
长安街北 南北三居  保养好 精装拎包入住 单独管理,赵堂子胡同,建国门内,3室1厅 ,73.72, 南 北 , 精装 ,6, 1990年 , 板楼,71, 5个月以前发布,7270000.0,"98,617元/平",近地铁 VR看装修 房本满五年 随时看房 
区域聚焦房一口价 东城区 2009年 南北三居 有车位,华龙美晟,永定门,3室1厅 ,113.63, 南 北 , 简装 ,12, 2009年 , 板塔结合,199, 6个月以前发布,9400000.0,"82,725元/平",近地铁 VR看装修 房本满五年 随时看房 
文汇  商品房小区 朝东两居 双卫生间  格局方正,京城仁合,广渠门,2室1厅 ,100.14, 东 , 精装 ,16, 2004年 , 板楼,45, 9个月以前发布,9500000.0,"94,868元/平",VR看装修 房本满五年 随时看房 
华普花园 3室2厅 北,华普花园,东直门,3室2厅 ,205.91, 北 , 简装 ,22, 2003年 , 塔楼,22, 6个月以前发布,11980000.0,"58,181元/平",近地铁 VR房源 房本满五年 随时看房 
