西二旗铭科苑 大一居 可以两居 看房方便,铭科苑,西二旗,2室1厅 ,72.0, 西 , 精装 ,18, 2002年 , 塔楼,100, 4个月以前发布,3790000.0,"52,639元/平",近地铁 VR看装修 房本满五年 随时看房 
满五唯一  精装修 空置  业主诚心卖 随时看房子,领秀新硅谷1号院,西二旗,4室2厅 ,110.99, 南 北 , 精装 ,5, 2010年 , 板楼,36, 9个月以前发布,12880000.0,"116,047元/平",VR看装修 房本满五年 随时看房 
领秀硅谷 洋房三居 南北通透 位置安静 满五唯一,领秀硅谷,西二旗,3室2厅 ,153.34, 南 北 , 简装 ,5, 2003年 , 板楼,49, 11个月以前发布,12000000.0,"78,258元/平",VR看装修 房本满五年 
博雅德园 中间位置 不把边 不临街 视野好 采光足,博雅德园,西二旗,3室2厅 ,144.76, 南 北 , 精装 ,10, 2005年 , 板楼,37, 6个月以前发布,11900000.0,"82,206元/平",VR看装修 房本满五年 随时看房 
满五年唯一商品房，诚意出售，产权清晰，,铭科苑,西二旗,2室1厅 ,72.06, 东 , 简装 ,18, 2002年 , 塔楼,22, 3个月以前发布,4050000.0,"56,204元/平",近地铁 VR看装修 房本满五年 随时看房 
西二旗燕尚园 三室两厅两卫 格局方正,燕尚园,西二旗,3室2厅 ,99.15, 东 南 北 , 精装 ,8, 2006年 , 板楼,70, 3个月以前发布,8700000.0,"87,746元/平",近地铁 VR看装修 房本满五年 
西二旗铭科苑格局方正满五唯一大三居,铭科苑,西二旗,3室2厅 ,100.7, 东 西 北 , 精装 ,6, 1997年 , 板楼,16, 4个月以前发布,5900000.0,"58,590元/平",近地铁 VR房源 房本满五年 
领秀硅谷      中间位置    诚心出售   看房随时,领秀硅谷,西二旗,3室1厅 ,105.85, 南 北 , 简装 ,5, 2003年 , 板楼,43, 10个月以前发布,9500000.0,"89,750元/平",VR房源 房本满五年 
博雅德园中间三居室，边户靠西，户型方正，采光好,博雅德园,西二旗,3室2厅 ,144.84, 南 北 , 简装 ,10, 2005年 , 板楼,41, 7个月以前发布,10990000.0,"75,877元/平",VR看装修 房本满五年 
智学苑 落地窗 不临街  满五唯一 中间楼层 诚心出售,智学苑,西二旗,2室1厅 ,80.7, 西 , 简装 ,22, 2005年 , 板塔结合,31, 8个月以前发布,5880000.0,"72,863元/平",近地铁 VR房源 房本满五年 
西二旗燕尚园平层四居 小区中间位置 带精装 诚意出售,燕尚园,西二旗,4室2厅 ,192.5, 南 北 , 精装 ,8, 2006年 , 板楼,172, 一年前发布,17900000.0,"92,988元/平",VR看装修 房本满两年 
领秀新硅谷2号院  电梯入户 位置安静,领秀新硅谷2号院,西二旗,3室2厅 ,154.15, 南 北 , 精装 ,6, 2009年 , 板楼,28, 10个月以前发布,16900000.0,"109,634元/平",近地铁 VR房源 房本满五年 
领秀新硅谷1号院 3室1厅 南 北,领秀新硅谷1号院,西二旗,3室1厅 ,96.96, 南 北 , 其他 ,6, 2010年 , 板楼,17, 3个月以前发布,12500000.0,"128,920元/平",近地铁 VR房源 房本满五年 
燕尚园 3室2厅 南 北,燕尚园,西二旗,3室2厅 ,130.11, 南 北 , 简装 ,8, 2006年 , 板楼,7, 4个月以前发布,13550000.0,"104,143元/平",VR房源 房本满五年 
领秀硅谷 南北三居室 双卫 带储物间,领秀硅谷,西二旗,3室2厅 ,144.29, 南 北 , 精装 ,10, 2003年 , 板楼,50, 6个月以前发布,11600000.0,"80,394元/平",VR看装修 房本满五年 
海淀西二旗智学苑三居室  格局方正,智学苑,西二旗,3室2厅 ,140.98, 南 西 北 , 精装 ,22, 2005年 , 塔楼,11, 5个月以前发布,8950000.0,"63,485元/平",近地铁 VR看装修 房本满五年 
满五唯一 中间楼层 户型合理 采光好 视野棒,智学苑,西二旗,3室2厅 ,126.2, 东 北 , 精装 ,24, 2002年 , 塔楼,11, 8个月以前发布,8600000.0,"68,146元/平",近地铁 VR看装修 房本满五年 
领秀硅谷南北通透三居 户型方正  公摊小,领秀硅谷,西二旗,3室2厅 ,126.39, 南 北 , 精装 ,8, 2003年 , 板楼,140, 5个月以前发布,9500000.0,"75,165元/平",VR看装修 房本满五年 
铭科苑成本价住房 南北两居 一层,铭科苑,西二旗,2室1厅 ,61.1, 南 北 , 简装 ,6, 1997年 , 板楼,21, 9个月以前发布,4890000.0,"80,033元/平",近地铁 VR看装修 房本满两年 
满五唯一商品房，视野开阔采光充足，业主自住装修好,铭科苑,西二旗,3室1厅 ,91.7, 东南 西 , 精装 ,6, 1997年 , 板楼,9, 5个月以前发布,6100000.0,"66,522元/平",VR看装修 房本满五年 
满五唯一商品房，小区中间位置，采光好，视野佳,铭科苑,西二旗,3室1厅 ,91.6, 东 西 北 , 简装 ,6, 1997年 , 板楼,18, 10个月以前发布,6200000.0,"67,686元/平",VR房源 房本满五年 
西二旗智学苑，低楼层，采光好，交通便利,智学苑,西二旗,2室1厅 ,68.71, 南 北 , 精装 ,6, 2000年 , 板楼,70, 一年前发布,5660000.0,"82,376元/平",近地铁 VR看装修 房本满五年 
智学苑 2室1厅 南 北,智学苑,西二旗,2室1厅 ,89.0, 南 北 , 简装 ,6, 2000年 , 板楼,17, 一年前发布,6880000.0,"77,304元/平",近地铁 VR看装修 房本满五年 
领秀新硅谷2号院全南向三居室诚意出售,领秀新硅谷2号院,西二旗,3室2厅 ,142.73, 东 南 西 , 精装 ,5, 2008年 , 板楼,28, 9个月以前发布,13400000.0,"93,884元/平",VR房源 房本满五年 
铭科苑 双卧朝南两居室 客厅明厅,铭科苑,西二旗,2室1厅 ,71.3, 南 北 , 其他 ,6, 1997年 , 板楼,28, 6个月以前发布,4800000.0,"67,322元/平",近地铁 VR房源 房本满五年 
智学苑 3室2厅 南 北,智学苑,西二旗,3室2厅 ,106.87, 南 北 , 简装 ,22, 2005年 , 板塔结合,24, 一年前发布,7950000.0,"74,390元/平",近地铁 VR看装修 房本满五年 
领秀新硅谷1号院 南北双通透两居 精装修 诚意出售,领秀新硅谷1号院,西二旗,2室1厅 ,96.2, 南 北 , 精装 ,9, 2011年 , 板楼,42, 7个月以前发布,9500000.0,"98,753元/平",VR看装修 房本满五年 
领秀新硅谷2号院洋房四居室 业主诚意出售 价格可谈,领秀新硅谷2号院,西二旗,3室2厅 ,154.13, 南 北 , 简装 ,6, 2009年 , 板楼,48, 一年前发布,15300000.0,"99,267元/平",近地铁 VR房源 房本满五年 
领秀新硅谷D区洋房四居 精装修 满五唯一 高楼层采光好,领秀新硅谷1号院,西二旗,4室2厅 ,111.25, 南 北 , 精装 ,5, 2010年 , 板楼,31, 7个月以前发布,13000000.0,"116,854元/平",近地铁 VR房源 房本满两年 
燕尚园南北通透三居室 双卧朝南 全明格局 满五年,燕尚园,西二旗,3室1厅 ,100.24, 南 北 , 简装 ,8, 2006年 , 板楼,18, 7个月以前发布,10000000.0,"99,761元/平",VR看装修 房本满五年 
智学苑 满五年唯一商品房 正规一居室 价格可谈,智学苑,西二旗,1室1厅 ,55.52, 西北 , 简装 ,6, 2000年 , 板楼,16, 9个月以前发布,3780000.0,"68,084元/平",近地铁 VR看装修 房本满五年 
铭科苑 3室2厅 东 西 北,铭科苑,西二旗,3室2厅 ,91.5, 东 西 北 , 其他 ,6, 1998年 , 板楼,11, 4个月以前发布,5990000.0,"65,465元/平",近地铁 VR看装修 房本满五年 
领秀硅谷精装顶层洋房，户型合理，居住舒适，诚心出售,领秀硅谷,西二旗,3室2厅 ,106.29, 南 北 , 精装 ,5, 2003年 , 板楼,24, 4个月以前发布,9970000.0,"93,800元/平",VR看装修 房本满五年 
智学苑南北通透大两居  看房方便  诚心出售,智学苑,西二旗,2室1厅 ,88.86, 南 北 , 精装 ,6, 2000年 , 板楼,13, 5个月以前发布,6990000.0,"78,664元/平",VR看装修 房本满五年 
西二旗铭科苑 满五唯一 诚意出售 价格可谈,铭科苑,西二旗,3室1厅 ,97.4, 东 西 北 , 简装 ,6, 1997年 , 板楼,15, 5个月以前发布,6190000.0,"63,553元/平",近地铁 VR房源 房本满五年 
新上海淀区西二旗铭科苑电梯两居室,铭科苑,西二旗,2室1厅 ,86.3, 西 , 其他 ,18, 2002年 , 塔楼,9, 7个月以前发布,6000000.0,"69,525元/平",近地铁 VR看装修 房本满五年 
智学苑 南北通透大两居室 满五年唯一 低楼层,智学苑,西二旗,2室1厅 ,114.16, 南 北 , 简装 ,6, 2005年 , 板楼,22, 9个月以前发布,7450000.0,"65,260元/平",近地铁 VR看装修 房本满五年 
西二旗智学苑 电梯三居两卫 满五唯一 位置安静,智学苑,西二旗,3室2厅 ,126.08, 东 东南 , 精装 ,24, 2002年 , 塔楼,23, 5个月以前发布,7450000.0,"59,090元/平",近地铁 VR看装修 房本满五年 
领秀新硅谷2号院 三室两厅两卫 满五唯一,领秀新硅谷2号院,西二旗,3室2厅 ,121.82, 南 北 , 精装 ,5, 2008年 , 板楼,12, 一年前发布,13300000.0,"109,178元/平",近地铁 VR看装修 房本满五年 
铭科苑 满五唯一 三层 视野好 东西通透 采光棒,铭科苑,西二旗,3室1厅 ,96.1, 东 西 , 简装 ,6, 1997年 , 板楼,53, 8个月以前发布,5980000.0,"62,227元/平",VR房源 房本满五年 
博雅德园全南两居室，高楼层，业主自住，只有契税,博雅德园,西二旗,2室2厅 ,104.11, 南 , 精装 ,16, 2005年 , 板楼,53, 一年前发布,8490000.0,"81,549元/平",VR看装修 房本满五年 
西二旗智学苑  西二旗商圈  商品房满五唯一,智学苑,西二旗,3室2厅 ,141.71, 南 北 , 精装 ,22, 2005年 , 塔楼,63, 一年前发布,8680000.0,"61,252元/平",近地铁 VR看装修 房本满五年 
领秀新硅谷1号院 迷你墅 户型方正 满五唯一,领秀新硅谷1号院,西二旗,3室1厅 ,89.74, 南 北 , 精装 ,6, 2010年 , 板楼,31, 6个月以前发布,10600000.0,"118,120元/平",近地铁 VR房源 房本满五年 
领秀新硅谷1号院。城市别墅区。,领秀新硅谷1号院,西二旗,4室2厅 ,153.04, 南 北 , 简装 ,5, 2010年 , 板楼,42, 9个月以前发布,15900000.0,"103,895元/平",近地铁 VR看装修 房本满五年 
智学苑落地窗不临街两居 诚心出售 中间楼层,智学苑,西二旗,2室1厅 ,80.7, 西 , 简装 ,22, 2005年 , 板塔结合,71, 7个月以前发布,6000000.0,"74,350元/平",近地铁 VR房源 房本满五年 随时看房 
智学苑 东南户型 中间楼层 满五唯一诚心出售 价格可谈,智学苑,西二旗,3室1厅 ,113.48, 东南 , 精装 ,24, 2001年 , 塔楼,7, 4个月以前发布,7500000.0,"66,091元/平",近地铁 VR看装修 房本满五年 随时看房 
西二旗铭科苑3层南北通透两居室,铭科苑,西二旗,2室1厅 ,69.8, 南 北 , 其他 ,6, 1997年 , 板楼,24, 6个月以前发布,5160000.0,"73,926元/平",近地铁 VR看装修 房本满五年 随时看房 
西二旗智学苑  南北通透 车位充足,智学苑,西二旗,2室1厅 ,69.05, 南 北 , 精装 ,6, 2000年 , 板楼,29, 6个月以前发布,4860000.0,"70,384元/平",近地铁 VR房源 房本满两年 随时看房 
海淀智学苑  南北两居室  诚心出售  看房随时,智学苑,西二旗,2室1厅 ,68.58, 南 北 , 简装 ,6, 2000年 , 板楼,57, 11个月以前发布,4560000.0,"66,492元/平",近地铁 VR看装修 房本满五年 随时看房 
西二旗铭科苑 婚房两居 商满五唯一,铭科苑,西二旗,2室1厅 ,62.5, 南 北 , 精装 ,6, 1998年 , 板楼,172, 一年前发布,4230000.0,"67,680元/平",VR看装修 房本满五年 随时看房 
西二旗铭科苑满5年三居室业主诚意出售,铭科苑,西二旗,3室1厅 ,114.24, 东 北 , 简装 ,18, 2000年 , 塔楼,24, 2个月以前发布,6500000.0,"56,898元/平",近地铁 VR看装修 房本满五年 随时看房 
燕尚园 南向两居室 小区中间位置落地窗 高楼层采光好,燕尚园,西二旗,2室1厅 ,98.83, 南 , 简装 ,8, 2006年 , 板楼,12, 5个月以前发布,8800000.0,"89,042元/平",VR看装修 房本满五年 随时看房 
南北通透，格局好，采光充足，电梯入户,领秀硅谷,西二旗,3室2厅 ,144.0, 南 北 , 精装 ,10, 2003年 , 板楼,33, 6个月以前发布,12500000.0,"86,806元/平",VR看装修 随时看房 
智学苑+电梯两居室+商品房满五唯一+东南向+视野开阔,智学苑,西二旗,2室1厅 ,99.26, 东 南 , 精装 ,24, 2001年 , 塔楼,43, 8个月以前发布,5990000.0,"60,347元/平",近地铁 VR房源 房本满五年 随时看房 
铭科苑成本价住房 南北两居 一层,铭科苑,西二旗,2室1厅 ,61.1, 南 北 , 简装 ,6, 1997年 , 板楼,21, 9个月以前发布,4890000.0,"80,033元/平",近地铁 VR看装修 房本满两年 
博雅德园 南北通透 不临街 位置安静 满五年唯一商品房,博雅德园,西二旗,2室1厅 ,94.48, 南 北 , 精装 ,10, 2005年 , 板楼,27, 6个月以前发布,7650000.0,"80,970元/平",VR房源 房本满五年 
领秀新硅谷C区，小高层南向一居室,领秀新硅谷1号院,西二旗,1室1厅 ,66.52, 南 , 简装 ,11, 2011年 , 板楼,25, 6个月以前发布,6290000.0,"94,559元/平",VR看装修 房本满五年 随时看房 
铭科苑 中间层 两居室 位置好看房方便,铭科苑,西二旗,2室1厅 ,65.0, 南 北 , 简装 ,6, 1997年 , 板楼,156, 9个月以前发布,4690000.0,"72,154元/平",近地铁 VR看装修 随时看房 
领秀新硅谷2号院 品质社区   小区中间位置,领秀新硅谷2号院,西二旗,2室1厅 ,87.41, 南 , 精装 ,15, 2008年 , 板楼,20, 5个月以前发布,8400000.0,"96,099元/平",近地铁 VR看装修 随时看房 
铭科苑中间楼层三居 不临街 户型方正,铭科苑,西二旗,3室1厅 ,91.5, 东 西 北 , 简装 ,6, 1998年 , 板楼,13, 11个月以前发布,6300000.0,"68,853元/平",近地铁 VR看装修 房本满五年 
西二旗铭科苑 两居室 一层独立下水,铭科苑,西二旗,2室1厅 ,65.5, 东 西 , 其他 ,6, 1998年 , 板楼,7, 5个月以前发布,5000000.0,"76,336元/平",近地铁 VR看装修 
铭科苑 高楼层 位置好看房随时 不临街 采光好,铭科苑,西二旗,3室1厅 ,91.7, 东 南 西 , 简装 ,6, 1997年 , 板楼,33, 9个月以前发布,5800000.0,"63,250元/平",近地铁 VR看装修 
西二旗铭科苑 中间位置 中间楼层,铭科苑,西二旗,2室1厅 ,65.0, 南 北 , 简装 ,6, 1997年 , 板楼,25, 9个月以前发布,5100000.0,"78,462元/平",近地铁 VR看装修 
满五唯一 中间楼层 精装修 直接拎包入住 有地下车位,博雅德园,西二旗,3室2厅 ,137.87, 南 北 , 精装 ,16, 2005年 , 板楼,18, 4个月以前发布,11280000.0,"81,817元/平",VR看装修 房本满五年 
铭科苑 南北通透两居室 精装修,铭科苑,西二旗,2室1厅 ,64.3, 南 北 , 精装 ,6, 1997年 , 板楼,16, 9个月以前发布,4600000.0,"71,540元/平",近地铁 VR看装修 随时看房 
商品房 南北户型 中间楼层 业主诚意出售,铭科苑,西二旗,2室1厅 ,67.1, 南 北 , 其他 ,6, 1997年 , 板楼,28, 3个月以前发布,4500000.0,"67,065元/平",近地铁 VR看装修 
南北双通透 三室两厅两卫 带书房,领秀新硅谷2号院,西二旗,3室2厅 ,166.63, 南 西 北 , 精装 ,15, 2008年 , 板楼,25, 2个月以前发布,14980000.0,"89,900元/平",近地铁 VR房源 房本满五年 
西二旗西路1号院宽景大宅精装考究拎包入住,领秀新硅谷1号院,西二旗,3室2厅 ,225.46, 南 北 , 精装 ,15, 2011年 , 板楼,12, 2个月以前发布,18500000.0,"82,055元/平",近地铁 VR看装修 
领秀新硅谷C区正规朝南一居，户型方正，无浪费面积,领秀新硅谷1号院,西二旗,1室1厅 ,66.52, 南 , 简装 ,11, 2011年 , 板楼,9, 2个月以前发布,6150000.0,"92,454元/平",VR看装修 房本满五年 随时看房 
满五年唯一，商品房，双卧朝南两居室，看房方便,铭科苑,西二旗,2室1厅 ,70.2, 南 北 , 精装 ,6, 1997年 , 板楼,41, 2个月以前发布,4970000.0,"70,798元/平",VR看装修 房本满五年 
西二旗 次新房 领秀新硅谷2号院 阳光薄板,领秀新硅谷2号院,西二旗,3室1厅 ,125.19, 东南 , 简装 ,15, 2008年 , 板楼,20, 1个月以前发布,10500000.0,"83,873元/平",近地铁 VR房源 
领秀新硅谷2号院 满五唯一 诚意出售,领秀新硅谷2号院,西二旗,2室2厅 ,125.21, 东 南 北 , 简装 ,15, 2008年 , 板楼,4, 1个月以前发布,11000000.0,"87,853元/平",近地铁 VR看装修 房本满五年 
领秀新硅谷2号院 花园洋房 电梯入户,领秀新硅谷2号院,西二旗,3室1厅 ,146.11, 南 北 , 简装 ,5, 2008年 , 板楼,4, 1个月以前发布,15000000.0,"102,663元/平",近地铁 VR看装修 房本满五年 随时看房 
满五唯一，全南向，精装修，位置小区中间，采光好,铭科苑,西二旗,2室1厅 ,92.06, 南 , 精装 ,18, 1999年 , 塔楼,9, 3个月以前发布,6700000.0,"72,779元/平",近地铁 VR看装修 房本满五年 
西二旗智学苑 6+7层 建成年代2005年,智学苑,西二旗,8室2厅 ,283.13, 南 北 , 简装 ,6, 2005年 , 板楼,7, 3个月以前发布,14980000.0,"52,909元/平",近地铁 VR房源 房本满两年 
装修精美 南向视野开阔 落地窗,领秀新硅谷2号院,西二旗,2室1厅 ,108.54, 南 , 精装 ,15, 2008年 , 板楼,3,7,10500000.0,"96,739元/平",近地铁 VR看装修 房本满五年 
博雅德园 次顶层 三室两厅两卫 南北双通透,博雅德园,西二旗,3室2厅 ,141.82, 南 北 , 精装 ,10, 2005年 , 板楼,11,16,11700000.0,"82,499元/平",VR看装修 房本满五年 
领秀新硅谷1号院 正南向一居 满五唯一 中间层 采光好,领秀新硅谷1号院,西二旗,1室1厅 ,66.88, 南 , 精装 ,9, 2011年 , 板楼,7, 1个月以前发布,6300000.0,"94,199元/平",VR看装修 房本满五年 
满五年唯一住宅 50万精装修 诚心出售 中高楼层拎包住,博雅德园,西二旗,3室2厅 ,137.12, 南 北 , 精装 ,10, 2005年 , 板楼,15, 2个月以前发布,10980000.0,"80,076元/平",VR看装修 房本满五年 随时看房 
智学苑 满二年374万 精装修 采光好 视野棒 诚心卖,智学苑,西二旗,2室1厅 ,68.71, 南 北 , 精装 ,6, 2000年 , 板楼,5,16,5900000.0,"85,869元/平",近地铁 VR看装修 房本满两年 
西二旗智学苑正规三居室，精装修，可直接入住,智学苑,西二旗,3室1厅 ,85.39, 东 南 , 精装 ,6, 2000年 , 板楼,13, 2个月以前发布,6300000.0,"73,780元/平",近地铁 VR看装修 房本满两年 
铭科苑南北两居室，户型方正，南北通透，中间楼层,铭科苑,西二旗,2室1厅 ,65.0, 南 北 , 精装 ,6, 1997年 , 板楼,12, 1个月以前发布,4990000.0,"76,770元/平",近地铁 VR看装修 房本满两年 
领秀新硅谷1号院  满五唯一 带电梯 南北向 采光好,领秀新硅谷1号院,西二旗,3室1厅 ,87.46, 南 北 , 精装 ,6, 2010年 , 板楼,17,14,8950000.0,"102,333元/平",近地铁 VR房源 房本满五年 
智学苑 南北通透 电梯三居 户型方正,智学苑,西二旗,3室1厅 ,106.87, 南 北 , 简装 ,22, 2005年 , 板塔结合,22, 1个月以前发布,7550000.0,"70,647元/平",近地铁 VR房源 房本满五年 随时看房 
中间楼层，前后无遮挡，采光充足，诚意出售,智学苑,西二旗,2室2厅 ,88.49, 南 北 , 精装 ,6, 2000年 , 板楼,12,19,6480000.0,"73,229元/平",近地铁 VR房源 房本满两年 
西二旗智学苑新上板楼三居，满五年的商品房。,智学苑,西二旗,3室1厅 ,85.08, 东南 , 简装 ,6, 2000年 , 板楼,7, 3个月以前发布,6800000.0,"79,925元/平",近地铁 VR看装修 
领秀新硅谷1号院  南北通透 精装修 不临街  诚意出售,领秀新硅谷1号院,西二旗,2室1厅 ,95.32, 南 北 , 精装 ,15, 2011年 , 板楼,6,9,10290000.0,"107,953元/平",VR看装修 房本满五年 
西二旗智学苑  电梯精装大两居 中间楼层 安静采光好,智学苑,西二旗,2室1厅 ,82.36, 南 西 , 精装 ,24, 2001年 , 塔楼,23, 2个月以前发布,5800000.0,"70,423元/平",近地铁 VR看装修 房本满两年 
西二旗 铭科苑 双卧朝南 两居室,铭科苑,西二旗,2室1厅 ,66.3, 南 北 , 简装 ,6, 1998年 , 板楼,1,3,4200000.0,"63,349元/平",近地铁 VR房源 房本满五年 
西二旗铭科苑 双卧朝南 采光好 视野棒 三层 满五唯一,铭科苑,西二旗,2室1厅 ,66.3, 南 北 , 简装 ,6, 1998年 , 板楼,4,9,5150000.0,"77,678元/平",近地铁 VR房源 房本满两年 
智学苑西南向实用性三居室，诚心出售，看房方便,智学苑,西二旗,3室1厅 ,113.48, 西南 , 简装 ,24, 2001年 , 塔楼,25, 1个月以前发布,6190000.0,"54,548元/平",近地铁 VR房源 
领秀硅谷中间楼层洋房精装三居室,领秀硅谷,西二旗,3室2厅 ,153.72, 南 北 , 精装 ,5, 2003年 , 板楼,21, 1个月以前发布,11980000.0,"77,934元/平",VR看装修 房本满五年 
西二旗铭科苑 满五年唯一 格局好 无遮挡 诚意出售,铭科苑,西二旗,2室1厅 ,65.72, 东 西 , 简装 ,6, 1997年 , 板楼,1,1,4160000.0,"63,299元/平",近地铁 VR房源 房本满五年 随时看房 
燕尚园 三居室，看房方便 满五唯一商品房,燕尚园,西二旗,3室2厅 ,132.2, 南 北 , 简装 ,8, 2006年 , 板楼,1,4,12360000.0,"93,495元/平",VR看装修 房本满五年 随时看房 
西二旗智学苑南北通透精装修两居室,智学苑,西二旗,2室1厅 ,68.71, 南 北 , 精装 ,6, 2000年 , 板楼,4,6,5000000.0,"72,770元/平",近地铁 VR房源 房本满五年 
商品房 南北向通透，双卧朝南，位置好，视野好采光好,铭科苑,西二旗,2室1厅 ,66.3, 南 北 , 精装 ,6, 1998年 , 板楼,0,4,4890000.0,"73,756元/平",近地铁 VR看装修 房本满两年 
铭科苑小区中间位置 精装两居室 中间楼层,铭科苑,西二旗,2室1厅 ,62.5, 南 北 , 精装 ,6, 1997年 , 板楼,9,6,4500000.0,"72,000元/平",近地铁 VR看装修 房本满五年 
领秀新硅谷2号院洋房 中间位置 精装修,领秀新硅谷2号院,西二旗,3室2厅 ,113.02, 南 北 , 精装 ,5, 2009年 , 板楼,2,2,12790000.0,"113,166元/平",VR房源 房本满五年 随时看房 
领秀新硅谷1号院 3室2厅 南 北,领秀新硅谷1号院,西二旗,3室2厅 ,142.51, 南 北 , 其他 ,9, 2011年 , 板楼,1, 刚刚发布,15300000.0,"107,361元/平",VR房源 随时看房 
领秀新硅谷1号院  南北向迷你墅  三居两卫,领秀新硅谷1号院,西二旗,3室1厅 ,87.31, 南 北 , 简装 ,6, 2010年 , 板楼,40, 10个月以前发布,9900000.0,"113,390元/平",近地铁 房本满五年 
西二旗铭科苑小区的满五唯一住宅,铭科苑,西二旗,1室1厅 ,72.06, 东 , 简装 ,18, 1999年 , 塔楼,2, 4个月以前发布,4990000.0,"69,248元/平",近地铁 VR看装修 房本满五年 
西二旗铭科苑 精装修三居室户型,铭科苑,西二旗,3室1厅 ,114.24, 西北 , 精装 ,18, 1999年 , 塔楼,39, 11个月以前发布,6850000.0,"59,962元/平",近地铁 VR看装修 房本满五年 
铭科苑正规南北通透3居室 业主诚意出售,铭科苑,西二旗,3室1厅 ,90.8, 南 北 , 简装 ,6, 1997年 , 板楼,51, 9个月以前发布,5980000.0,"65,860元/平",VR房源 房本满五年 
铭科苑满五唯一精装电梯两居，有固定车位,铭科苑,西二旗,2室1厅 ,86.3, 西南 西 , 精装 ,18, 1999年 , 塔楼,8, 6个月以前发布,6350000.0,"73,581元/平",近地铁 VR房源 房本满五年 
领秀新硅谷2号院 东西通透 带落地窗 精装修 格局方正,领秀新硅谷2号院,西二旗,2室1厅 ,80.12, 东 西 , 精装 ,5, 2008年 , 板楼,25, 7个月以前发布,7700000.0,"96,106元/平",近地铁 VR房源 房本满五年 
铭科苑全南向电梯婚房精装两居室,铭科苑,西二旗,2室1厅 ,80.97, 南 , 其他 ,18, 1999年 , 塔楼,35, 5个月以前发布,6200000.0,"76,572元/平",近地铁 VR看装修 房本满五年 随时看房 
领秀新硅谷  花园洋房  四居室,领秀新硅谷1号院,西二旗,4室1厅 ,146.73, 南 北 , 精装 ,5, 2011年 , 板楼,29, 9个月以前发布,16600000.0,"113,133元/平",VR房源 房本满五年 
一号院中间位置，中间楼层，南北通透两居室,领秀新硅谷1号院,西二旗,2室1厅 ,95.19, 北 南 , 精装 ,15, 2011年 , 板楼,39, 4个月以前发布,10600000.0,"111,357元/平",VR看装修 房本满五年 
